tx_time,tx_slot,tx_time_ms,h_id,tbs,rv,nrtx,success,outcome,reason
2025-12-05 21:23:51.378358,750.2,7501.0,0,5252.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.378829,750.3,7501.5,1,5252.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.379426,750.4,7502.0,4,5252.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.379907,750.5,7502.5,5,3138.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.380399,750.6,7503.0,6,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.397359,752.0,7520.0,6,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.397836,752.1,7520.5,4,4737.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.398428,752.2,7521.0,1,5252.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.398912,752.3,7521.5,0,5252.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.399391,752.4,7522.0,2,5252.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.399850,752.5,7522.5,3,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.400467,752.6,7523.0,5,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.400932,752.7,7523.5,7,2817.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.402373,752.1,7520.5,8,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.402942,752.11,7525.5,9,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.403408,752.12,7526.0,10,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.403899,752.13,7526.5,11,3841.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.404346,752.14,7527.0,12,233.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.417442,754.0,7540.0,12,3521.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.417936,754.1,7540.5,11,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.418371,754.2,7541.0,10,5252.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.418883,754.3,7541.5,9,5252.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.419349,754.4,7542.0,8,5252.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.419954,754.5,7542.5,7,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.420428,754.6,7543.0,5,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.420884,754.7,7543.5,3,2817.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.422444,754.1,7540.5,2,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.422911,754.11,7545.5,0,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.423369,754.12,7546.0,1,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.423965,754.13,7546.5,4,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.424413,754.14,7547.0,6,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
