time,ue,rnti,h_id,slot,ack,tbs,type
2025-12-05 21:24:07.660986,0,0x4601,15,329.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.660986,0,0x4601,4,329.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.660986,0,0x4601,6,329.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.661937,0,0x4601,2,329.19,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.666438,0,0x4601,10,330.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.666438,0,0x4601,9,330.8,1,3521.0,HARQ-ACK
2025-12-05 21:24:07.666438,0,0x4601,14,330.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.666438,0,0x4601,12,330.8,1,5252.0,HARQ-ACK
2025-12-05 21:24:07.666438,0,0x4601,7,330.8,1,5252.0,HARQ-ACK
2025-12-05 21:24:07.666438,0,0x4601,5,330.8,1,5252.0,HARQ-ACK
2025-12-05 21:24:07.666438,0,0x4601,3,330.9,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.670937,0,0x4601,11,330.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.670937,0,0x4601,6,330.18,1,2817.0,HARQ-ACK
2025-12-05 21:24:07.670937,0,0x4601,2,330.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.670937,0,0x4601,4,330.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.670937,0,0x4601,15,330.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.670937,0,0x4601,0,330.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.670937,0,0x4601,1,330.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.671368,0,0x4601,13,330.19,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.676436,0,0x4601,8,331.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.676436,0,0x4601,3,331.8,1,3521.0,HARQ-ACK
2025-12-05 21:24:07.676436,0,0x4601,5,331.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.676436,0,0x4601,7,331.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.676436,0,0x4601,12,331.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.676436,0,0x4601,14,331.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.676436,0,0x4601,9,331.9,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.680448,0,0x4601,10,331.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.680448,0,0x4601,1,331.18,1,2817.0,HARQ-ACK
2025-12-05 21:24:07.680448,0,0x4601,13,331.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.680448,0,0x4601,0,331.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.680448,0,0x4601,15,331.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.680448,0,0x4601,4,331.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.680448,0,0x4601,2,331.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.681842,0,0x4601,6,331.19,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.686493,0,0x4601,11,332.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.686493,0,0x4601,9,332.8,1,3521.0,HARQ-ACK
2025-12-05 21:24:07.686493,0,0x4601,14,332.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.686493,0,0x4601,12,332.8,1,5252.0,HARQ-ACK
2025-12-05 21:24:07.686493,0,0x4601,7,332.8,1,5252.0,HARQ-ACK
2025-12-05 21:24:07.686493,0,0x4601,5,332.8,1,5252.0,HARQ-ACK
2025-12-05 21:24:07.686493,0,0x4601,3,332.9,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.690965,0,0x4601,2,332.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.690965,0,0x4601,4,332.18,1,2817.0,HARQ-ACK
2025-12-05 21:24:07.690965,0,0x4601,6,332.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.690965,0,0x4601,15,332.18,1,5889.0,HARQ-ACK
