time,ue,rnti,h_id,mcs,tbs,nrtx,rv,type
2025-12-05 21:24:01.263880,0,0x4601,8,27,5889,0,0,PDSCH
2025-12-05 21:24:01.264342,0,0x4601,5,27,5889,0,0,PDSCH
2025-12-05 21:24:01.264915,0,0x4601,15,27,5889,0,0,PDSCH
2025-12-05 21:24:01.265412,0,0x4601,11,27,5889,0,0,PDSCH
2025-12-05 21:24:01.265914,0,0x4601,13,27,2817,0,0,PDSCH
2025-12-05 21:24:01.267440,0,0x4601,6,27,3521,0,0,PDSCH
2025-12-05 21:24:01.267888,0,0x4601,1,27,5889,0,0,PDSCH
2025-12-05 21:24:01.268369,0,0x4601,2,27,5889,0,0,PDSCH
2025-12-05 21:24:01.268974,0,0x4601,4,27,5889,0,0,PDSCH
2025-12-05 21:24:01.269431,0,0x4601,0,27,5889,0,0,PDSCH
2025-12-05 21:24:01.269877,0,0x4601,10,27,5889,0,0,PDSCH
2025-12-05 21:24:01.270862,0,0x4601,5,27,2817,0,0,PDSCH
2025-12-05 21:24:01.272369,0,0x4601,15,27,5889,0,0,PDSCH
2025-12-05 21:24:01.272862,0,0x4601,8,27,5889,0,0,PDSCH
2025-12-05 21:24:01.273435,0,0x4601,3,27,5889,0,0,PDSCH
2025-12-05 21:24:01.273913,0,0x4601,12,27,5889,0,0,PDSCH
2025-12-05 21:24:01.274366,0,0x4601,7,27,5889,0,0,PDSCH
2025-12-05 21:24:01.274860,0,0x4601,14,27,5889,0,0,PDSCH
2025-12-05 21:24:01.275469,0,0x4601,9,27,4737,0,0,PDSCH
2025-12-05 21:24:01.277478,0,0x4601,10,27,3521,0,0,PDSCH
2025-12-05 21:24:01.277986,0,0x4601,0,27,5889,0,0,PDSCH
2025-12-05 21:24:01.278406,0,0x4601,4,24,5252,0,0,PDSCH
2025-12-05 21:24:01.278865,0,0x4601,2,24,5252,0,0,PDSCH
2025-12-05 21:24:01.279354,0,0x4601,1,24,5252,0,0,PDSCH
2025-12-05 21:24:01.279921,0,0x4601,6,27,5889,0,0,PDSCH
2025-12-05 21:24:01.280424,0,0x4601,13,27,5889,0,0,PDSCH
2025-12-05 21:24:01.280943,0,0x4601,7,27,2817,0,0,PDSCH
2025-12-05 21:24:01.282447,0,0x4601,14,27,5889,0,0,PDSCH
2025-12-05 21:24:01.282886,0,0x4601,12,27,5889,0,0,PDSCH
2025-12-05 21:24:01.283391,0,0x4601,3,27,5889,0,0,PDSCH
2025-12-05 21:24:01.283968,0,0x4601,8,27,5889,0,0,PDSCH
2025-12-05 21:24:01.284411,0,0x4601,15,27,5889,0,0,PDSCH
2025-12-05 21:24:01.284874,0,0x4601,5,27,5889,0,0,PDSCH
2025-12-05 21:24:01.285413,0,0x4601,11,27,5889,0,0,PDSCH
2025-12-05 21:24:01.285985,0,0x4601,6,27,2817,0,0,PDSCH
2025-12-05 21:24:01.287398,0,0x4601,1,27,3521,0,0,PDSCH
2025-12-05 21:24:01.287859,0,0x4601,2,27,5889,0,0,PDSCH
2025-12-05 21:24:01.288458,0,0x4601,4,27,5889,0,0,PDSCH
2025-12-05 21:24:01.288912,0,0x4601,0,27,5889,0,0,PDSCH
2025-12-05 21:24:01.289362,0,0x4601,10,27,5889,0,0,PDSCH
2025-12-05 21:24:01.289866,0,0x4601,9,27,5889,0,0,PDSCH
2025-12-05 21:24:01.290470,0,0x4601,15,27,5889,0,0,PDSCH
2025-12-05 21:24:01.290929,0,0x4601,8,27,2817,0,0,PDSCH
2025-12-05 21:24:01.292452,0,0x4601,5,27,5889,0,0,PDSCH
2025-12-05 21:24:01.292981,0,0x4601,3,27,5889,0,0,PDSCH
2025-12-05 21:24:01.293404,0,0x4601,12,27,233,0,0,PDSCH
2025-12-05 21:24:01.294460,0,0x4601,14,27,5889,0,0,PDSCH
2025-12-05 21:24:01.294920,0,0x4601,7,27,5889,0,0,PDSCH
2025-12-05 21:24:01.295418,0,0x4601,13,27,5889,0,0,PDSCH
2025-12-05 21:24:01.297426,0,0x4601,9,27,3521,0,0,PDSCH
2025-12-05 21:24:01.297890,0,0x4601,10,27,5889,0,0,PDSCH
2025-12-05 21:24:01.298359,0,0x4601,0,24,5252,0,0,PDSCH
2025-12-05 21:24:01.298928,0,0x4601,4,24,5252,0,0,PDSCH
2025-12-05 21:24:01.299409,0,0x4601,2,24,5252,0,0,PDSCH
2025-12-05 21:24:01.299884,0,0x4601,1,27,5889,0,0,PDSCH
2025-12-05 21:24:01.300401,0,0x4601,6,27,5889,0,0,PDSCH
2025-12-05 21:24:01.300963,0,0x4601,14,27,2817,0,0,PDSCH
2025-12-05 21:24:01.302377,0,0x4601,7,27,5889,0,0,PDSCH
2025-12-05 21:24:01.302959,0,0x4601,12,27,5889,0,0,PDSCH
2025-12-05 21:24:01.303469,0,0x4601,3,27,5889,0,0,PDSCH
2025-12-05 21:24:01.303896,0,0x4601,5,27,5889,0,0,PDSCH
2025-12-05 21:24:01.304349,0,0x4601,8,27,5889,0,0,PDSCH
2025-12-05 21:24:01.304853,0,0x4601,15,27,5889,0,0,PDSCH
2025-12-05 21:24:01.305449,0,0x4601,11,27,5889,0,0,PDSCH
2025-12-05 21:24:01.307444,0,0x4601,1,27,3521,0,0,PDSCH
2025-12-05 21:24:01.307947,0,0x4601,2,27,5889,0,0,PDSCH
2025-12-05 21:24:01.308408,0,0x4601,4,27,5889,0,0,PDSCH
2025-12-05 21:24:01.308833,0,0x4601,0,27,5889,0,0,PDSCH
2025-12-05 21:24:01.309461,0,0x4601,10,27,5889,0,0,PDSCH
2025-12-05 21:24:01.309904,0,0x4601,9,27,5889,0,0,PDSCH
2025-12-05 21:24:01.310418,0,0x4601,13,27,5889,0,0,PDSCH
2025-12-05 21:24:01.310907,0,0x4601,8,27,111,0,0,PDSCH
2025-12-05 21:24:01.312439,0,0x4601,15,27,5889,0,0,PDSCH
2025-12-05 21:24:01.312889,0,0x4601,5,27,5889,0,0,PDSCH
2025-12-05 21:24:01.313343,0,0x4601,3,27,5889,0,0,PDSCH
2025-12-05 21:24:01.313958,0,0x4601,12,27,5889,0,0,PDSCH
