pw,mean,std,count,median
450.0,31.22015584415584,22.61463301834324,77,30.0
455.0,29.11296153846154,22.997247065310166,78,19.1
459.9999999999,33.79236842105263,24.112238786609087,76,38.6
464.9999999999,32.296855263157894,24.18909549236539,76,29.65
470.0,31.04871428571429,22.298851173415528,77,25.4
475.0,42.40025,23.780133279203174,76,58.4
479.9999999999,29.986831168831166,22.86002463587255,77,26.0
484.9999999999,30.075480519480518,25.74344484197584,77,38.5
490.0,40.26828571428571,21.695328988454932,77,44.9
495.0,30.222025974025975,23.815414692994878,77,26.6
500.0,22.936226666666666,23.653893993792003,75,8.97
505.0,29.277421052631578,24.18695746458583,76,31.3
509.99999999989996,24.002987012987013,24.841919595659217,77,10.3
514.9999999999,27.33376623376623,23.553552819443578,77,18.9
520.0,25.220051282051283,23.78390016125305,78,17.0
525.0,26.102324675324674,23.458800198400215,77,17.5
530.0,22.49870512820513,23.794434766284876,78,8.97
535.0,23.644910256410256,24.61860663774555,78,9.504999999999999
540.0,29.86135064935065,24.18939040634737,77,28.1
545.0,25.107736842105265,24.54851190133171,76,13.350000000000001
549.9999999999,24.74803846153846,24.019851647217674,78,14.7
554.9999999999,32.78197435897436,25.49674805237106,78,38.0
560.0,27.1722987012987,24.45976083557007,77,19.1
565.0,26.909,24.338675346149454,77,24.2
570.0,20.154948717948717,25.832076433273397,78,4.275
575.0,36.03648051948052,26.32637477722293,77,47.3
580.0,21.86338961038961,24.622020565764767,77,8.04
585.0,22.413807692307692,22.975168908870046,78,8.965
589.9999999999,26.07736842105263,23.741419931611556,76,16.85
594.9999999999,37.440207792207794,26.904616299427353,77,58.7
600.0,26.345974025974023,24.098726293036425,77,17.2
605.0,34.306519480519476,21.84674541436947,77,34.2
610.0,23.259597402597404,25.255682401381815,77,8.76
615.0,23.643776315789474,26.429184707616283,76,6.305
620.0,29.348092105263156,23.54637239671404,76,26.950000000000003
625.0,32.69040789473684,22.409667212866047,76,30.1
629.9999999999,23.237576923076922,25.77412794273148,78,8.485
634.9999999999,24.162842105263156,24.238610817758044,76,12.1
639.9999999999,26.917038961038962,23.75294325222032,77,19.3
645.0,32.91412987012987,23.41239813721661,77,26.9
650.0,29.223333333333333,23.81338209760233,78,24.9
655.0,28.621013157894737,24.890980324871855,76,17.25
660.0,25.002753246753247,23.823229699599725,77,17.0
665.0,24.419467532467532,25.150810987544098,77,9.47
670.0,27.915276315789477,23.875248772790446,76,18.450000000000003
674.9999999999,21.201786666666667,23.936991667480047,75,9.53
679.9999999999,40.376131578947366,20.192801341297912,76,41.35
685.0,35.55788311688312,25.486001273131357,77,42.1
690.0,30.13872727272727,23.8090299011223,77,27.8
695.0,30.332371794871797,24.152322890683156,78,31.5
700.0,23.732833333333335,24.967163538409395,78,9.225
705.0,24.4155641025641,25.049553990165712,78,9.265
710.0,28.588525641025637,24.374514813805522,78,24.85
714.9999999999,26.354142857142858,24.070929457878552,77,17.2
