pw,mean,std,count
825.0,39.237575757575755,14.376123685869036,2
830.0,28.8180303030303,8.737482792861769,2
834.9999999999,26.92939393939394,1.895046173579947,2
839.9999999999,33.97484848484848,7.368052659963824,2
844.9999999999,33.64621212121212,8.099372491536457,2
850.0,21.131969696969694,10.707525140203925,2
855.0,33.04242424242424,12.470792322744567,2
860.0,32.33151515151515,7.329911748736185,2
865.0,34.84787878787879,10.872730997262968,2
870.0,28.389848484848482,3.6377429770315177,2
874.9999999999,35.60121212121213,,1
879.9999999999,26.20575757575758,0.9783786554235692,2
884.9999999999,28.78,0.5134023780978682,2
890.0,28.831515151515152,3.8582317278924196,2
895.0,28.383484848484848,0.8885975216910955,2
900.0,37.162121212121214,10.763022308787962,2
905.0,32.13121212121212,8.519993888951364,2
910.0,25.723333333333333,1.2595071696407656,2
914.9999999999001,28.280454545454546,1.0193051388195185,2
919.9999999999,28.233636363636364,,1
924.9999999999,28.941363636363633,2.9092087176271995,2
929.9999999999,26.82469696969697,1.3480026546801727,2
935.0,24.956969696969693,11.257997055618546,2
940.0,26.956515151515152,0.20120402046489733,2
945.0,37.141818181818174,13.448742428603772,2
950.0,27.526060606060604,1.9880414290450867,2
954.9999999999001,29.313333333333333,2.9029947489440415,2
959.9999999999,28.88075757575757,4.596408352494735,2
964.9999999999,30.533636363636365,4.3664915112180225,2
969.9999999999,23.404848484848486,12.816631821179442,2
975.0,32.395303030303026,5.1063823340777565,2
980.0,13.52878787878788,,1
985.0,27.562121212121212,0.3394112549695456,2
990.0,26.085,0.17249119965307716,2
995.0,33.04242424242425,,1
1000.0,19.729696969696967,7.2030610776869635,2
1005.0,31.935606060606062,11.54619663764761,2
1010.0,25.163636363636364,,1
1015.0000000000001,32.6259090909091,7.051568806687302,2
1019.9999999998998,29.87212121212121,5.263445749414047,2
1024.9999999999,30.297727272727272,2.762216217053268,2
1029.9999999999,26.901363636363634,4.8758226684545045,2
1035.0,27.29757575757576,1.2556502235615647,2
1040.0,27.214090909090906,1.6501300975507864,2
1045.0,23.813636363636363,4.290209688762745,2
1050.0,28.570151515151515,4.202142753287689,2
1055.0,27.28848484848485,2.069894395836986,2
1060.0,30.853939393939392,0.22970256649454118,2
1065.0,29.730303030303027,,1
1070.0,26.55409090909091,1.923116170045231,2
1075.0,30.935151515151514,,1
1080.0,28.536666666666665,1.3362175416603976,2
1085.0,24.16651515151515,5.5786439539975,2
1090.0,24.982575757575756,15.658129707638475,2
1095.0,30.028939393939392,0.42662109131588255,2
1099.9999999999002,26.351969696969697,17.817590962425758,2
1104.9999999999,27.811212121212122,,1
1109.9999999999,40.68181818181817,0.6213968683154559,2
1114.9999999999,28.400151515151514,3.8481608131300638,2
1120.0,26.479242424242422,0.883026377354473,2
1125.0,35.192727272727275,9.461945831404716,2
1130.0,33.95484848484848,7.426763950280528,2
1135.0,34.61954545454545,7.716249181002658,2
1140.0,35.544696969696965,6.489311778252903,2
1145.0,26.82409090909091,1.8935462501047045,2
1150.0,31.78363636363636,11.508270001202144,2
1155.0,28.47181818181818,0.46026223211779127,2
1160.0,35.03681818181818,6.3804601889066115,2
1165.0,27.11,18.444344700295645,2
1170.0,25.61090909090909,,1
1175.0,37.67272727272727,,1
1179.9999999999002,22.813939393939393,,1
1184.9999999999,25.12636363636363,,1
1189.9999999999,39.557575757575755,,1
1194.9999999999,25.64909090909091,,1
1200.0,39.5,,1
1205.0,29.882121212121213,,1
1210.0,29.934848484848484,,1
1215.0,28.012424242424242,,1
1220.0,33.07242424242424,,1
1225.0,24.836363636363636,,1
1230.0,26.993030303030302,,1
1235.0,29.262727272727272,,1
1240.0,37.3569696969697,,1
1245.0,28.115757575757577,,1
1250.0,28.473939393939396,,1
1255.0,27.929090909090913,,1
1259.9999999999002,40.10606060606061,,1
1264.9999999999002,31.490303030303025,,1
1269.9999999999,27.87181818181818,,1
1274.9999999999,21.41969696969697,,1
1279.9999999999,29.34151515151515,,1
1295.0,34.47545454545455,,1
1300.0,36.40696969696969,,1
1305.0,28.843030303030304,,1
1310.0,27.38090909090909,,1
1320.0,28.567272727272726,,1
1325.0,23.579090909090908,,1
1335.0,13.845454545454544,,1
1340.0,18.933939393939394,,1
1344.9999999999002,31.835757575757572,,1
1349.9999999999002,25.22121212121212,,1
1354.9999999999,34.22272727272727,,1
1359.9999999999,37.372424242424245,,1
1365.0,25.248484848484846,,1
1370.0,35.53333333333333,,1
1375.0,16.503030303030304,,1
1380.0,28.71454545454545,,1
1385.0,32.375151515151515,,1
1390.0,28.760303030303028,,1
1395.0,27.816060606060606,,1
1400.0,28.839393939393936,,1
1405.0,30.543333333333333,,1
1410.0,37.93333333333333,,1
1415.0,25.383939393939396,,1
1420.0,32.63848484848484,,1
1429.9999999999002,23.959393939393937,,1
1434.9999999999,26.39272727272727,,1
1439.9999999999,27.401818181818182,,1
1444.9999999999,41.17272727272727,,1
1450.0,28.615151515151513,,1
1455.0,25.277575757575757,,1
1460.0,22.18121212121212,,1
1465.0,20.172727272727276,,1
1470.0,24.26060606060606,,1
1475.0,34.06757575757575,,1
1480.0,40.86363636363637,,1
1485.0,22.673333333333336,,1
1490.0,29.75333333333333,,1
1495.0,32.20666666666666,,1
1500.0,24.71878787878788,,1
1504.9999999999002,24.806363636363635,,1
1509.9999999999002,18.779090909090908,,1
1514.9999999999002,28.935454545454547,,1
1519.9999999999,29.147272727272725,,1
1524.9999999999,33.56757575757576,,1
1530.0,26.220000000000002,,1
1535.0,35.32727272727273,,1
1540.0,25.488181818181815,,1
1550.0,31.589696969696963,,1
1555.0,32.33848484848485,,1
1560.0,25.574545454545454,,1
1565.0,23.348484848484848,,1
1570.0,28.803636363636365,,1
1580.0,27.89818181818182,,1
1584.9999999999002,14.258484848484848,,1
1589.9999999999002,27.796060606060607,,1
