time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ul_olla,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_ul_olla
2025-07-30 19:18:13.850943,metric,51,1400,600,0,0,37,27,0.786,1,0,0,1,16usec,66usec,116.12,24Mbps,375kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,4601,1,12,1.0,16,24Mbps,1000,100,9%,46.8k,52350,-2.1909127,11.2,-5.0,1,10,375kbps,326,274,45%,16540,20.5k,0,0,0,0,20,14,209ns,n/a,19,4.49ms,4.5ms,4.45ms,4.05ms,4.5ms,n/a,-5
2025-07-30 19:18:14.850911,metric,51,1400,600,0,0,24,27,0.544,1,0,0,1,15usec,40usec,187.16,17Mbps,285kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,4601,1,12,1.0,17,17Mbps,727,39,5%,0,33940,-1.8809023,10.1,-5.1,1,8,285kbps,252,348,58%,16380,20.5k,0,0,0,0,7,0,213ns,n/a,19,4.46ms,4.5ms,4.46ms,4.06ms,4.5ms,n/a,-4.998
2025-07-30 19:18:15.850916,metric,51,1400,600,0,0,47,29,0.973,1,0,0,1,17usec,45usec,318.16,30Mbps,468kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,4601,1,12,1.0,17,30Mbps,1188,170,12%,179k,66873,-2.3698914,4.7,-5.3,1,6,468kbps,422,178,29%,17500,20.5k,0,0,0,0,34,0,225ns,n/a,19,4.49ms,4.5ms,4.43ms,4.05ms,4.5ms,n/a,
2025-07-30 19:18:16.851064,metric,51,1400,600,0,0,26,29,0.554,1,0,0,1,14usec,53usec,447.16,18Mbps,189kbps,5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,5ms,,n/a,,,,4601,1,12,1.0,16,18Mbps,755,21,2%,7.93k,36592,-1.8649254,10.4,-5.2,1,9,190kbps,189,411,68%,17520,28.6k,0,0,0,0,4,0,227ns,n/a,24,4.49ms,4.5ms,4.46ms,4.07ms,4.5ms,n/a,-4.998
2025-07-30 19:18:17.850891,metric,51,1400,600,0,0,33,27,0.708,1,0,0,1,15usec,44usec,485.16,19Mbps,411kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,4601,1,12,1.0,16,19Mbps,797,194,19%,123k,46803,,9.7,-5.1,1,8,411kbps,358,242,40%,16420,20.5k,0,0,0,0,38,0,235ns,n/a,19,4.47ms,4.5ms,4.45ms,4.07ms,4.5ms,n/a,-5
2025-07-30 19:18:18.850846,metric,51,1400,600,0,0,39,29,0.827,1,0,0,1,16usec,42usec,649.16,21Mbps,353kbps,5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,5ms,,n/a,,,,4601,1,12,1.0,14,21Mbps,982,184,15%,0,55960,-3.0180085,4.1,-5.2,1,4,354kbps,332,268,44%,17960,20.5k,0,0,0,0,37,27,173ns,n/a,19,4.5ms,4.5ms,4.44ms,4.05ms,4.5ms,n/a,-4.997
2025-07-30 19:18:19.851017,metric,51,1397,599,0,6,12,12,0.281,0.674,0,0,1,12usec,47usec,667.0,7.3Mbps,152kbps,5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,5ms,,4.5ms,,,,4601,1,12,1.0,15,7.3Mbps,359,27,6%,54,18104,-2.8950331,18.2,-4.6,1,17,152kbps,124,281,69%,7340,20.2k,0,0,0,0,5,3,171ns,n/a,19,4.5ms,4.5ms,4.42ms,4ms,4.5ms,4.04ms,-5
2025-07-30 19:18:20.850848,metric,51,1400,600,0,0,23,28,0.508,1,0,0,1,14usec,42usec,835.16,14Mbps,335kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,4601,1,12,1.0,15,14Mbps,662,48,6%,387k,32825,-2.7180789,7.4,-5.0,1,4,335kbps,313,287,47%,17240,14.7k,0,0,0,0,9,0,181ns,n/a,24,4.44ms,4.5ms,4.43ms,4.05ms,4.5ms,n/a,-4.8580103
2025-07-30 19:18:21.850954,metric,51,1400,600,0,0,33,23,0.7,0.885,0,0,1,15usec,56usec,862.8,17Mbps,270kbps,5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,5ms,,4.5ms,,,,4601,1,12,1.0,15,17Mbps,831,149,15%,809k,47366,-3.3331409,8.8,-5.2,1,11,271kbps,238,293,55%,14354,20.5k,3,0,0,0,30,0,192ns,n/a,19,4.48ms,4.5ms,4.47ms,4.06ms,4.5ms,4.01ms,
2025-07-30 19:18:22.850928,metric,51,1400,600,0,0,19,30,0.432,1,0,0,1,14usec,42usec,17.16,11Mbps,276kbps,5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,metric,,,,,,,,,,,,,,,,,,5ms,,n/a,,,,4601,1,12,1.0,14,11Mbps,573,32,5%,144k,27804,-3.0371802,8.6,-5.1,1,6,277kbps,275,325,54%,18080,14.7k,0,0,0,0,6,0,203ns,n/a,24,4.48ms,4.5ms,4.44ms,4.06ms,4.5ms,n/a,-4.930005
