time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,pci,rnti,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_pci,ue_rnti,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay
2025-07-30 19:57:18.074909,metric,51,1400,600,0,0,33,29,0.71,1,0,0,1,15usec,51usec,128.11,25Mbps,290kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,1,4601,13,1.0,19,25Mbps,892,102,10%,31k,47194,-1.2988217,-4.0,-5.5,1,0,291kbps,315,285,47%,17580,28.6k,0,0,0,0,18,0,-4.658025,229ns,n/a,19,4.47ms,4.5ms,4.44ms,4.05ms,4.5ms,n/a
2025-07-30 19:57:19.074796,metric,51,1400,600,0,0,34,28,0.736,1,0,0,1,15usec,68usec,201.11,25Mbps,330kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,1,4601,13,1.0,19,25Mbps,895,138,13%,136k,48753,-1.6457855,-2.6,-5.4,1,0,330kbps,315,285,47%,16980,28.6k,0,0,0,0,27,22,-4.7480183,235ns,n/a,24,4.49ms,4.5ms,4.44ms,4.05ms,4.5ms,n/a
2025-07-30 19:57:20.074930,metric,51,1399,599,0,4,38,29,0.806,1,0,0,1,16usec,84usec,350.14,27Mbps,322kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,1,4601,13,1.0,19,27Mbps,968,152,13%,126k,54029,-2.1697536,-2.8,-5.4,1,0,323kbps,341,258,43%,17405,28.6k,0,0,0,0,28,0,-4.7180204,172ns,n/a,24,4.46ms,4.5ms,4.43ms,4.02ms,4.5ms,n/a
2025-07-30 19:57:21.074763,metric,51,1400,600,0,0,33,29,0.714,1,0,0,1,15usec,51usec,382.5,24Mbps,285kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,1,4601,13,1.0,18,24Mbps,915,96,9%,0,47596,-2.0808074,-3.6,-5.5,1,0,286kbps,290,311,51%,17508,28.6k,0,0,0,0,18,1,-5,173ns,n/a,19,4.47ms,4.5ms,4.43ms,4.05ms,4.5ms,n/a
2025-07-30 19:57:22.074933,metric,51,1400,600,0,0,31,28,0.672,1,0,0,1,15usec,57usec,530.6,22Mbps,305kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,1,4601,13,1.0,18,22Mbps,838,102,10%,136k,44489,-2.1648679,-3.3,-5.5,1,0,305kbps,319,281,46%,17060,28.6k,0,0,0,0,17,30,-4.894022,181ns,n/a,19,4.44ms,4.5ms,4.44ms,4.06ms,4.5ms,n/a
2025-07-30 19:57:23.074746,metric,51,1400,600,0,0,36,28,0.76,1,0,0,1,16usec,43usec,557.6,23Mbps,299kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,1,4601,13,1.0,17,23Mbps,928,129,12%,44.8k,50476,-2.4789352,-3.6,-5.5,1,0,300kbps,322,278,46%,17380,28.6k,0,0,0,0,24,0,-4.681023,195ns,n/a,24,4.46ms,4.5ms,4.44ms,4.06ms,4.5ms,n/a
2025-07-30 19:57:24.074777,metric,51,1400,600,0,0,29,28,0.641,1,0,0,1,15usec,52usec,744.3,19Mbps,300kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,1,4601,13,1.0,17,19Mbps,775,123,13%,68.8k,41620,-2.6769924,-2.7,-5.5,1,0,300kbps,300,300,50%,17120,28.6k,0,0,0,0,22,20,-4.779016,207ns,n/a,24,4.48ms,4.5ms,4.44ms,4.07ms,4.5ms,n/a
2025-07-30 19:57:25.074828,metric,51,1400,600,0,0,37,28,0.774,1,0,0,1,16usec,46usec,789.6,25Mbps,317kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,1,4601,13,1.0,17,25Mbps,984,105,9%,136k,51817,-2.7460618,-3.3,-5.5,1,0,318kbps,338,262,43%,17320,28.6k,0,0,0,0,19,0,-4.7560177,214ns,n/a,24,4.45ms,4.5ms,4.45ms,4.04ms,4.5ms,n/a
2025-07-30 19:57:26.074733,metric,51,1400,600,0,0,26,29,0.57,1,0,0,1,15usec,37usec,872.16,16Mbps,272kbps,5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,5ms,,n/a,,,,1,4601,13,1.0,17,16Mbps,677,123,15%,0,36488,-3.1371129,-3.0,-5.5,1,0,273kbps,279,321,53%,17400,28.6k,0,0,0,0,25,9,-4.878009,227ns,n/a,24,4.46ms,4.5ms,4.45ms,4.05ms,4.5ms,n/a
2025-07-30 19:57:27.074867,metric,51,1400,600,0,0,36,29,0.759,1,0,0,1,16usec,39usec,1016.6,23Mbps,316kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,1,4601,13,1.0,16,23Mbps,957,98,9%,126k,50941,-3.164181,-3.7,-5.6,1,0,316kbps,335,265,44%,17420,26k,0,0,0,0,18,12,-4.8430114,232ns,n/a,19,4.43ms,4.5ms,4.43ms,4.05ms,4.5ms,n/a
2025-07-30 19:57:28.074774,metric,51,1400,600,0,0,30,29,0.643,1,0,0,1,15usec,40usec,30.5,20Mbps,287kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,1,4601,13,1.0,17,20Mbps,832,68,7%,47.9k,42551,,-3.0,-5.5,1,0,288kbps,293,307,51%,17400,28.6k,0,0,0,0,13,3,-4.946004,228ns,n/a,19,4.5ms,4.5ms,4.45ms,4.06ms,4.5ms,n/a
