time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,events,slot,type,rnti,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_events,ue_slot,ue_type,ue_rnti,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay
2025-07-30 19:40:07.713605,metric,51,1400,600,0,0,42,27,0.879,1,0,0,1,17usec,43usec,111.5,,,,,26Mbps,338kbps,5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,5ms,,n/a,1,12,1.0,17,26Mbps,983,247,20%,41.7k,59154,-1.9599345,3.8,-5.4,1,7,338kbps,293,307,51%,16220,28.6k,0,0,0,0,45,0,-4.999,231ns,n/a,19,4.49ms,4.5ms,4.47ms,4.05ms,4.5ms,n/a
2025-07-30 19:40:08.713720,metric,51,1400,600,0,0,29,25,0.632,1,0,0,1,15usec,53usec,193.2,,,,,17Mbps,272kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,4.5ms,,n/a,1,12,1.0,16,17Mbps,727,167,18%,0,40890,-2.2499776,8.0,-5.4,1,11,272kbps,270,330,55%,15000,28.6k,0,0,0,0,34,0,-4.999,237ns,n/a,19,4.5ms,4.5ms,4.46ms,4.08ms,4.5ms,n/a
2025-07-30 19:40:09.713622,metric,51,1400,600,0,0,24,25,0.534,1,0,0,1,14usec,40usec,338.6,,,,,15Mbps,320kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,4.5ms,,n/a,1,12,1.0,16,15Mbps,665,73,9%,28.8k,34584,-2.1190236,7.9,-5.3,1,10,320kbps,240,360,60%,15300,28.6k,0,0,0,0,12,0,,168ns,n/a,19,4.49ms,4.5ms,4.47ms,4.06ms,4.5ms,n/a
2025-07-30 19:40:10.713732,metric,51,1400,600,0,0,34,27,0.721,1,0,0,1,16usec,43usec,417.10,,,,,23Mbps,423kbps,5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,5ms,,n/a,1,12,1.0,17,23Mbps,927,82,8%,187k,48088,-2.0410159,4.4,-5.2,1,5,423kbps,274,326,54%,16480,20.5k,0,0,0,0,16,0,-5,169ns,n/a,19,4.5ms,4.5ms,4.48ms,4.07ms,4.5ms,n/a
2025-07-30 19:40:11.713540,metric,51,1400,600,0,0,39,30,0.819,1,0,0,1,16usec,43usec,488.3,,,,,22Mbps,313kbps,5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,5ms,,n/a,1,12,1.0,15,22Mbps,971,184,15%,0,55316,-2.8440874,1.8,-5.4,1,2,313kbps,299,301,50%,18480,39.8k,0,0,0,0,37,1,-4.997,184ns,n/a,24,4.47ms,4.5ms,4.44ms,4.05ms,4.5ms,n/a
2025-07-30 19:40:12.713631,metric,51,1399,597,0,5,14,28,0.34,1,0,0,1,13usec,43usec,587.2,,,,,8.9Mbps,218kbps,5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,5ms,,n/a,1,12,1.0,15,8.9Mbps,451,24,5%,0,20825,-2.615119,3.4,-5.5,1,6,219kbps,250,350,58%,16971,28.6k,0,0,0,0,3,47,-4.997,194ns,n/a,24,4.43ms,4.5ms,4.41ms,4.06ms,4.5ms,n/a
2025-07-30 19:40:13.713736,metric,51,1400,600,0,0,21,28,0.469,1,0,0,1,14usec,50usec,661.16,,,,,14Mbps,226kbps,5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,5ms,,n/a,1,12,1.0,16,14Mbps,641,8,1%,9.67k,30237,-2.0821612,4.4,-5.4,1,6,226kbps,237,363,60%,17060,28.6k,0,0,0,0,0,39,-4.998,204ns,n/a,24,4.45ms,4.5ms,4.44ms,4.05ms,4.5ms,n/a
2025-07-30 19:40:14.713602,metric,51,1400,600,0,0,31,29,0.667,1,0,0,1,15usec,51usec,812.14,,,,,21Mbps,367kbps,5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,5ms,,n/a,1,12,1.0,17,21Mbps,861,73,7%,364k,44375,,0.2,-5.2,1,2,368kbps,347,253,42%,17640,28.6k,0,0,0,0,13,11,-4.790015,209ns,n/a,24,4.45ms,4.5ms,4.44ms,4.05ms,4.5ms,n/a
2025-07-30 19:40:15.713684,metric,51,1400,600,0,0,49,29,1,1,0,0,1,17usec,41usec,924.16,,,,,27Mbps,439kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,4.5ms,,n/a,1,12,1.0,15,27Mbps,1138,262,18%,1.01M,68862,,-1.0,-5.2,1,0,439kbps,447,153,25%,17960,20.5k,0,0,0,0,47,1,-4.3420477,225ns,n/a,24,4.42ms,4.5ms,4.43ms,4.06ms,4.5ms,n/a
2025-07-30 19:40:16.713621,metric,51,1400,600,0,0,49,27,1,1,0,0,1,17usec,48usec,962.6,,,,,22Mbps,371kbps,6ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,6ms,,n/a,1,12,1.0,13,22Mbps,1113,287,20%,347k,68858,,2.8,-5.5,1,5,371kbps,323,277,46%,16600,20.5k,0,0,0,0,53,0,-5,229ns,n/a,19,4.49ms,4.5ms,4.46ms,4.05ms,5.5ms,n/a
2025-07-30 19:40:17.713637,metric,51,1400,600,0,0,36,25,0.759,1,0,0,1,16usec,42usec,122.2,,,,,16Mbps,274kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,4.5ms,,n/a,1,12,1.0,13,16Mbps,869,193,18%,104k,51157,-3.9830012,7.6,-5.5,1,11,274kbps,272,328,54%,15000,28.6k,0,0,0,0,36,0,-5,234ns,n/a,19,4.5ms,4.5ms,4.45ms,4.06ms,4.5ms,n/a
2025-07-30 19:40:18.713553,metric,51,1400,600,0,0,33,25,0.699,1,0,0,1,15usec,41usec,137.4,,,,,16Mbps,331kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,4.5ms,,n/a,1,12,1.0,13,16Mbps,895,93,9%,0,46395,-3.61703,8.0,-5.3,1,10,332kbps,248,352,58%,15440,39.8k,0,0,0,0,16,4,-5,160ns,n/a,19,4.5ms,4.5ms,4.46ms,4.06ms,4.5ms,n/a
2025-07-30 19:40:19.713687,metric,51,1400,600,0,0,30,26,0.64,1,0,0,1,15usec,61usec,255.6,,,,,16Mbps,421kbps,5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4603,,,5ms,,n/a,1,12,1.0,14,16Mbps,841,46,5%,147k,42508,-3.2880867,5.0,-5.3,1,6,421kbps,258,342,57%,16140,39.8k,0,0,0,0,9,41,-4.998,172ns,n/a,19,4.49ms,4.5ms,4.48ms,4.07ms,4.5ms,n/a
