time,log_type,rnti,format,prb,prb2,symb,csi1,sinr,t,bwp,n_id,n_id0,slot,cp,ports,status,epre,rsrp,t_align,cfo,prb1,cs,occ,ack,metric,sr
2025-07-30 15:21:59.709855,PHY,0x4601,1,,na,"[0,",,+16.7dB,15.2us,"[0,",1,,739.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1241.1,
2025-07-30 15:21:59.713427,PHY,0x4601,2,"[6,",na,"[0,",,+31.7dB,17.2us,"[0,",1,1,739.17,normal,0,valid,-11.5dB,-11.6dB,0.19us,+39.7Hz,,,,11111,,
2025-07-30 15:21:59.714347,PHY,0x4601,1,,na,"[0,",,+18.3dB,16.4us,"[0,",1,,739.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1797.1,
2025-07-30 15:21:59.714850,PHY,0x4601,1,,na,"[0,",,+18.1dB,15.1us,"[0,",1,,739.19,normal,0,valid,-14.4dB,-14.4dB,na,na,0,0,0,1,1715.1,
2025-07-30 15:21:59.718989,CSI,0x4601,2,"[6,",na,"[0,",1110,+32.3dB,16.7us,"[0,",1,1,740.8,normal,0,valid,-11.4dB,-11.4dB,0.22us,+29.0Hz,,,,1,,
2025-07-30 15:21:59.719814,PHY,0x4601,1,,na,"[0,",,+18.0dB,16.9us,"[0,",1,,740.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1699.3,
2025-07-30 15:21:59.723475,PHY,0x4601,2,"[6,",na,"[0,",,+29.8dB,15.7us,"[0,",1,1,740.17,normal,0,valid,-11.6dB,-11.7dB,0.22us,-34.1Hz,,,,11111,,
2025-07-30 15:21:59.724385,PHY,0x4601,1,,na,"[0,",,+16.6dB,22.7us,"[0,",1,,740.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1222.7,
2025-07-30 15:21:59.724852,PHY,0x4601,1,,na,"[0,",,+16.5dB,14.7us,"[0,",1,,740.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1191.0,
2025-07-30 15:21:59.729352,PHY,0x4601,1,,na,"[0,",,+17.1dB,18.7us,"[0,",1,,741.8,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1361.4,
2025-07-30 15:21:59.729818,PHY,0x4601,1,,na,"[0,",,+16.6dB,15.9us,"[0,",1,,741.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1224.7,
2025-07-30 15:21:59.733366,PHY,0x4601,2,"[6,",na,"[0,",,+32.8dB,16.6us,"[0,",1,1,741.17,normal,0,valid,-11.6dB,-11.6dB,0.20us,-73.1Hz,,,,11111,,
2025-07-30 15:21:59.734297,PHY,0x4601,1,,na,"[0,",,+16.7dB,15.7us,"[0,",1,,741.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1253.6,
2025-07-30 15:21:59.734887,PHY,0x4601,1,,na,"[0,",,+16.8dB,16.0us,"[0,",1,,741.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1281.5,
2025-07-30 15:21:59.738916,CSI,0x4601,2,"[6,",na,"[0,",1110,+29.6dB,14.1us,"[0,",1,1,742.8,normal,0,valid,-11.4dB,-11.5dB,0.21us,+86.5Hz,,,,1,,
2025-07-30 15:21:59.739850,PHY,0x4601,1,,na,"[0,",,+17.8dB,16.4us,"[0,",1,,742.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1609.1,
2025-07-30 15:21:59.743392,PHY,0x4601,2,"[6,",na,"[0,",,+32.9dB,21.1us,"[0,",1,1,742.17,normal,0,valid,-11.6dB,-11.6dB,0.21us,-126.4Hz,,,,11111,,
2025-07-30 15:21:59.744330,PHY,0x4601,1,,na,"[0,",,+17.0dB,17.4us,"[0,",1,,742.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1328.0,
2025-07-30 15:21:59.744805,PHY,0x4601,1,,na,"[0,",,+16.4dB,15.4us,"[0,",1,,742.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1179.8,
2025-07-30 15:21:59.749301,PHY,0x4601,1,,na,"[0,",,+16.7dB,21.6us,"[0,",1,,743.8,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1254.2,
2025-07-30 15:21:59.749886,PHY,0x4601,1,,na,"[0,",,+16.6dB,14.8us,"[0,",1,,743.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1203.4,
2025-07-30 15:21:59.753448,PHY,0x4601,2,"[6,",na,"[0,",,+32.4dB,15.8us,"[0,",1,1,743.17,normal,0,valid,-11.5dB,-11.6dB,0.18us,+25.5Hz,,,,11111,,
2025-07-30 15:21:59.754369,PHY,0x4601,1,,na,"[0,",,+16.7dB,16.1us,"[0,",1,,743.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1260.7,
2025-07-30 15:21:59.754838,PHY,0x4601,1,,na,"[0,",,+17.0dB,14.5us,"[0,",1,,743.19,normal,0,valid,-14.4dB,-14.4dB,na,na,0,0,0,1,1336.6,
2025-07-30 15:21:59.758947,CSI,0x4601,2,"[6,",na,"[0,",1110,+35.0dB,22.0us,"[0,",1,1,744.8,normal,0,valid,-11.4dB,-11.5dB,0.20us,+171.4Hz,,,,1,,
2025-07-30 15:21:59.759804,PHY,0x4601,1,,na,"[0,",,+17.0dB,16.6us,"[0,",1,,744.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1328.6,
2025-07-30 15:21:59.763453,PHY,0x4601,2,"[6,",na,"[0,",,+30.5dB,18.1us,"[0,",1,1,744.17,normal,0,valid,-11.5dB,-11.6dB,0.22us,+15.8Hz,,,,11111,,
2025-07-30 15:21:59.764288,PHY,0x4601,1,,na,"[0,",,+16.7dB,16.3us,"[0,",1,,744.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1254.1,
2025-07-30 15:21:59.764871,PHY,0x4601,1,,na,"[0,",,+16.6dB,15.6us,"[0,",1,,744.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1229.9,
2025-07-30 15:21:59.769367,PHY,0x4601,1,,na,"[0,",,+16.5dB,17.1us,"[0,",1,,745.8,normal,0,valid,-14.4dB,-14.4dB,na,na,0,0,0,1,1185.2,
2025-07-30 15:21:59.769831,PHY,0x4601,1,,na,"[0,",,+16.7dB,16.6us,"[0,",1,,745.9,normal,0,valid,-14.4dB,-14.4dB,na,na,0,0,0,1,1254.3,
2025-07-30 15:21:59.773372,PHY,0x4601,2,"[6,",na,"[0,",,+33.3dB,15.6us,"[0,",1,1,745.17,normal,0,valid,-11.5dB,-11.6dB,0.21us,+74.0Hz,,,,11111,,
2025-07-30 15:21:59.774327,PHY,0x4601,1,,na,"[0,",,+16.6dB,20.9us,"[0,",1,,745.18,normal,0,valid,-14.4dB,-14.6dB,na,na,0,0,0,1,1228.6,
2025-07-30 15:21:59.774792,PHY,0x4601,1,,na,"[0,",,+16.5dB,14.1us,"[0,",1,,745.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1204.4,
2025-07-30 15:21:59.778925,CSI,0x4601,2,"[6,",na,"[0,",1110,+33.1dB,14.3us,"[0,",1,1,746.8,normal,0,valid,-11.5dB,-11.6dB,0.23us,+6.5Hz,,,,1,,
2025-07-30 15:21:59.779868,PHY,0x4601,1,,na,"[0,",,+16.6dB,16.9us,"[0,",1,,746.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1209.5,
2025-07-30 15:21:59.783432,PHY,0x4601,2,"[6,",na,"[0,",,+30.5dB,13.9us,"[0,",1,1,746.17,normal,0,valid,-11.5dB,-11.6dB,0.19us,-22.9Hz,,,,11111,,
2025-07-30 15:21:59.784362,PHY,0x4601,1,,na,"[0,",,+17.0dB,15.4us,"[0,",1,,746.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1338.5,
2025-07-30 15:21:59.784829,PHY,0x4601,1,,na,"[0,",,+16.5dB,21.9us,"[0,",1,,746.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1179.8,
2025-07-30 15:21:59.789339,PHY,0x4601,1,,na,"[0,",,+16.5dB,18.2us,"[0,",1,,747.8,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1193.9,
2025-07-30 15:21:59.789803,PHY,0x4601,1,,na,"[0,",,+16.7dB,18.8us,"[0,",1,,747.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1229.7,
2025-07-30 15:21:59.793444,PHY,0x4601,2,"[6,",na,"[0,",,+29.9dB,18.2us,"[0,",1,1,747.17,normal,0,valid,-11.6dB,-11.6dB,0.18us,+48.0Hz,,,,11111,,
2025-07-30 15:21:59.794381,PHY,0x4601,1,,na,"[0,",,+16.5dB,19.8us,"[0,",1,,747.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1194.9,
2025-07-30 15:21:59.794866,PHY,0x4601,1,,na,"[0,",,+16.7dB,14.6us,"[0,",1,,747.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1241.1,
2025-07-30 15:21:59.798951,CSI,0x4601,2,"[6,",na,"[0,",1110,+31.5dB,12.6us,"[0,",1,1,748.8,normal,0,valid,-11.5dB,-11.6dB,0.21us,+14.8Hz,,,,1,,
2025-07-30 15:21:59.799839,PHY,0x4601,1,,na,"[0,",,+18.0dB,15.7us,"[0,",1,,748.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1689.0,
2025-07-30 15:21:59.803366,PHY,0x4601,2,"[6,",na,"[0,",,+31.4dB,13.7us,"[0,",1,1,748.17,normal,0,valid,-11.5dB,-11.6dB,0.19us,-22.9Hz,,,,11111,,
2025-07-30 15:21:59.804307,PHY,0x4601,1,,na,"[0,",,+16.8dB,15.6us,"[0,",1,,748.18,normal,0,valid,-14.4dB,-14.4dB,na,na,0,0,0,1,1262.5,
2025-07-30 15:21:59.804781,PHY,0x4601,1,,na,"[0,",,+16.7dB,14.6us,"[0,",1,,748.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1232.0,
2025-07-30 15:21:59.809380,PHY,0x4601,1,,na,"[0,",,+16.8dB,19.3us,"[0,",1,,749.8,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1286.4,
2025-07-30 15:21:59.809862,PHY,0x4601,1,,na,"[0,",,+16.9dB,16.3us,"[0,",1,,749.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1294.8,
2025-07-30 15:21:59.813406,PHY,0x4601,2,"[6,",na,"[0,",,+33.2dB,15.8us,"[0,",1,1,749.17,normal,0,valid,-11.6dB,-11.6dB,0.22us,+37.1Hz,,,,11111,,
2025-07-30 15:21:59.814361,PHY,0x4601,1,,na,"[0,",,+18.3dB,16.2us,"[0,",1,,749.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1807.8,
2025-07-30 15:21:59.814815,PHY,0x4601,1,,na,"[0,",,+18.2dB,14.0us,"[0,",1,,749.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1760.4,
2025-07-30 15:21:59.818961,CSI,0x4601,2,"[6,",na,"[0,",1110,+31.7dB,16.9us,"[0,",1,1,750.8,normal,0,valid,-11.5dB,-11.6dB,0.21us,+8.1Hz,,,,0,,
2025-07-30 15:21:59.819890,PHY,0x4601,1,,na,"[0,",,+16.8dB,27.3us,"[0,",1,,750.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1269.7,
2025-07-30 15:21:59.823432,PHY,0x4601,2,"[6,",na,"[0,",,+31.7dB,14.8us,"[0,",1,1,750.17,normal,0,valid,-11.5dB,-11.6dB,0.23us,-35.6Hz,,,,11111,,
2025-07-30 15:21:59.824367,PHY,0x4601,1,,na,"[0,",,+16.8dB,16.2us,"[0,",1,,750.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1279.6,
2025-07-30 15:21:59.824860,PHY,0x4601,1,,na,"[0,",,+16.6dB,16.3us,"[0,",1,,750.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1207.7,
2025-07-30 15:21:59.829368,PHY,0x4601,1,,na,"[0,",,+16.7dB,32.0us,"[0,",1,,751.8,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1247.6,
2025-07-30 15:21:59.829814,PHY,0x4601,1,,na,"[0,",,+16.7dB,18.2us,"[0,",1,,751.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1247.4,
2025-07-30 15:21:59.833474,PHY,0x4601,2,"[6,",na,"[0,",,+34.5dB,17.9us,"[0,",1,1,751.17,normal,0,valid,-11.5dB,-11.5dB,0.21us,-5.2Hz,,,,11111,,
2025-07-30 15:21:59.834304,PHY,0x4601,1,,na,"[0,",,+16.8dB,26.6us,"[0,",1,,751.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1277.8,
2025-07-30 15:21:59.834875,PHY,0x4601,1,,na,"[0,",,+16.6dB,17.2us,"[0,",1,,751.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1226.0,
2025-07-30 15:21:59.838904,CSI,0x4601,2,"[6,",na,"[0,",1110,+29.8dB,16.0us,"[0,",1,1,752.8,normal,0,valid,-11.4dB,-11.5dB,0.21us,+71.8Hz,,,,1,,
2025-07-30 15:21:59.839847,PHY,0x4601,1,,na,"[0,",,+18.0dB,17.7us,"[0,",1,,752.9,normal,0,valid,-14.4dB,-14.4dB,na,na,0,0,0,1,1680.5,
2025-07-30 15:21:59.843384,PHY,0x4601,2,"[6,",na,"[0,",,+34.4dB,19.3us,"[0,",1,1,752.17,normal,0,valid,-11.5dB,-11.6dB,0.21us,-14.6Hz,,,,11111,,
2025-07-30 15:21:59.844340,PHY,0x4601,1,,na,"[0,",,+17.8dB,15.8us,"[0,",1,,752.18,normal,0,valid,-14.4dB,-14.4dB,na,na,0,0,0,1,1586.4,
2025-07-30 15:21:59.844805,PHY,0x4601,1,,na,"[0,",,+17.9dB,18.4us,"[0,",1,,752.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1660.0,
2025-07-30 15:21:59.849320,PHY,0x4601,1,,na,"[0,",,+16.4dB,16.9us,"[0,",1,,753.8,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1153.7,
2025-07-30 15:21:59.849873,PHY,0x4601,1,,na,"[0,",,+16.8dB,17.2us,"[0,",1,,753.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1268.9,
