time,log_type,rnti,format,prb1,prb2,symb,cs,occ,sr,metric,sinr,t,bwp,n_id,slot,cp,ports,status,epre,rsrp,t_align,cfo,prb,csi1,n_id0,ack
2025-07-30 16:06:14.909220,PHY,0x4601,1,0,na,"[0,",0,0,,2273.0,+19.3dB,16.4us,"[0,",1,307.8,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:14.909689,PHY,0x4601,1,0,na,"[0,",0,0,,2437.5,+19.6dB,29.4us,"[0,",1,307.9,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:14.913351,PHY,0x4601,2,,na,"[0,",,,,,+35.0dB,19.7us,"[0,",1,307.17,normal,0,valid,-11.9dB,-11.9dB,0.16us,-125.7Hz,"[6,",,1,11110
2025-07-30 16:06:14.914258,PHY,0x4601,1,0,na,"[0,",0,0,,2410.3,+19.6dB,17.2us,"[0,",1,307.18,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:14.914739,PHY,0x4601,1,0,na,"[0,",0,0,,2160.7,+19.1dB,23.0us,"[0,",1,307.19,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:14.918859,CSI,0x4601,2,,na,"[0,",,,,,+30.8dB,34.3us,"[0,",1,308.8,normal,0,valid,-11.7dB,-11.7dB,0.12us,-64.7Hz,"[6,",1111,1,1
2025-07-30 16:06:14.919720,PHY,0x4601,1,0,na,"[0,",0,0,,3854.8,+21.6dB,24.3us,"[0,",1,308.9,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:14.923239,PHY,0x4601,2,,na,"[0,",,,,,+30.1dB,13.5us,"[0,",1,308.17,normal,0,valid,-11.9dB,-11.9dB,0.12us,+22.8Hz,"[6,",,1,11111
2025-07-30 16:06:14.924207,PHY,0x4601,1,0,na,"[0,",0,0,,2439.1,+19.6dB,24.8us,"[0,",1,308.18,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:14.924767,PHY,0x4601,1,0,na,"[0,",0,0,,2408.8,+19.6dB,16.0us,"[0,",1,308.19,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:14.929255,PHY,0x4601,1,0,na,"[0,",0,0,,2443.6,+19.6dB,16.4us,"[0,",1,309.8,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:14.929731,PHY,0x4601,1,0,na,"[0,",0,0,,2402.6,+19.5dB,22.0us,"[0,",1,309.9,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:14.933283,PHY,0x4601,2,,na,"[0,",,,,,+35.2dB,22.8us,"[0,",1,309.17,normal,0,valid,-11.8dB,-11.9dB,0.15us,+103.6Hz,"[6,",,1,11110
2025-07-30 16:06:14.934223,PHY,0x4601,1,0,na,"[0,",0,0,,2616.9,+19.9dB,18.0us,"[0,",1,309.18,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:14.934716,PHY,0x4601,1,0,na,"[0,",0,0,,2481.7,+19.7dB,22.4us,"[0,",1,309.19,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:14.938862,CSI,0x4601,2,,na,"[0,",,,,,+32.5dB,23.1us,"[0,",1,310.8,normal,0,valid,-11.8dB,-11.8dB,0.13us,+9.8Hz,"[6,",1111,1,1
2025-07-30 16:06:14.939750,PHY,0x4601,1,0,na,"[0,",0,0,,3457.6,+21.1dB,15.3us,"[0,",1,310.9,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:14.943321,PHY,0x4601,2,,na,"[0,",,,,,+28.6dB,13.4us,"[0,",1,310.17,normal,0,valid,-11.8dB,-11.8dB,0.15us,+45.9Hz,"[6,",,1,11111
2025-07-30 16:06:14.944240,PHY,0x4601,1,0,na,"[0,",0,0,,3764.3,+21.5dB,15.0us,"[0,",1,310.18,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:14.944731,PHY,0x4601,1,0,na,"[0,",0,0,,3715.3,+21.4dB,15.3us,"[0,",1,310.19,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:14.949216,PHY,0x4601,1,0,na,"[0,",0,0,,2540.0,+19.8dB,16.5us,"[0,",1,311.8,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:14.949715,PHY,0x4601,1,0,na,"[0,",0,0,,2481.4,+19.7dB,15.7us,"[0,",1,311.9,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:14.953376,PHY,0x4601,2,,na,"[0,",,,,,+29.7dB,20.0us,"[0,",1,311.17,normal,0,valid,-11.9dB,-11.9dB,0.16us,-12.9Hz,"[6,",,1,11110
2025-07-30 16:06:14.954196,PHY,0x4601,1,0,na,"[0,",0,0,,3595.9,+21.3dB,23.0us,"[0,",1,311.18,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:14.954754,PHY,0x4601,1,0,na,"[0,",0,0,,3995.3,+21.8dB,15.2us,"[0,",1,311.19,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:14.958870,CSI,0x4601,2,,na,"[0,",,,,,+29.9dB,14.9us,"[0,",1,312.8,normal,0,valid,-11.8dB,-11.8dB,0.16us,+33.6Hz,"[6,",1110,1,1
2025-07-30 16:06:14.959721,PHY,0x4601,1,0,na,"[0,",0,0,,3495.1,+21.2dB,16.3us,"[0,",1,312.9,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
