time,log_type,rnti,format,prb1,prb2,symb,cs,occ,ack,metric,sinr,t,bwp,n_id,slot,cp,ports,status,epre,rsrp,t_align,cfo,sr,prb,csi1,n_id0
2025-08-03 16:05:26.830670,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-23.1dB,15.4us,"[0,",1,968.7,normal,0,invalid,-46.9dB,-70.7dB,na,na,no,,,
2025-08-03 16:05:26.830936,CSI,0x4601,2,,na,"[4,",,,,,+33.7dB,13.7us,"[0,",1,968.8,normal,0,valid,-13.3dB,-13.3dB,0.18us,-12.7Hz,,"[7,",1101,1
2025-08-03 16:05:26.850736,PHY,0x4601,1,4,na,"[0,",0,0,,0.3,-21.6dB,14.4us,"[0,",1,970.7,normal,0,invalid,-46.9dB,-68.9dB,na,na,no,,,
2025-08-03 16:05:26.850860,CSI,0x4601,2,,na,"[4,",,,,,+33.4dB,13.1us,"[0,",1,970.8,normal,0,valid,-13.4dB,-13.4dB,0.21us,-47.5Hz,,"[7,",1101,1
2025-08-03 16:05:26.870690,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-22.3dB,14.4us,"[0,",1,972.7,normal,0,invalid,-46.0dB,-68.8dB,na,na,no,,,
2025-08-03 16:05:26.870963,CSI,0x4601,2,,na,"[4,",,,,,+30.8dB,11.9us,"[0,",1,972.8,normal,0,valid,-13.3dB,-13.3dB,0.21us,-5.3Hz,,"[7,",1101,1
2025-08-03 16:05:26.890643,PHY,0x4601,1,4,na,"[0,",0,0,,1526.6,+17.6dB,14.6us,"[0,",1,974.7,normal,0,valid,-15.1dB,-15.2dB,na,na,yes,,,
2025-08-03 16:05:26.890922,CSI,0x4601,2,,na,"[4,",,,,,+32.5dB,13.5us,"[0,",1,974.8,normal,0,valid,-13.3dB,-13.3dB,0.20us,-136.8Hz,,"[7,",1101,1
2025-08-03 16:05:26.910709,PHY,0x4601,1,4,na,"[0,",0,0,2,0.2,-20.3dB,15.5us,"[0,",1,976.7,normal,0,invalid,-47.2dB,-68.5dB,na,na,,,,
2025-08-03 16:05:26.910724,PHY,0x4601,1,0,na,"[0,",0,0,1,1399.7,+17.2dB,11.5us,"[0,",1,976.7,normal,0,valid,-15.3dB,-15.4dB,na,na,,,,
2025-08-03 16:05:26.910957,CSI,0x4601,2,,na,"[4,",,,,,+30.9dB,13.4us,"[0,",1,976.8,normal,0,valid,-13.3dB,-13.3dB,0.20us,+39.9Hz,,"[7,",1101,1
2025-08-03 16:05:26.930661,PHY,0x4601,1,4,na,"[0,",0,0,,0.3,-22.7dB,14.9us,"[0,",1,978.7,normal,0,invalid,-46.8dB,-70.0dB,na,na,no,,,
2025-08-03 16:05:26.930936,CSI,0x4601,2,,na,"[4,",,,,,+32.4dB,13.1us,"[0,",1,978.8,normal,0,valid,-13.3dB,-13.4dB,0.20us,-7.5Hz,,"[7,",1101,1
2025-08-03 16:05:26.950724,PHY,0x4601,1,4,na,"[0,",0,0,,0.2,-19.1dB,14.3us,"[0,",1,980.7,normal,0,invalid,-46.1dB,-65.3dB,na,na,no,,,
2025-08-03 16:05:26.950857,CSI,0x4601,2,,na,"[4,",,,,,+30.5dB,12.7us,"[0,",1,980.8,normal,0,valid,-13.4dB,-13.4dB,0.20us,-120.8Hz,,"[7,",1101,1
2025-08-03 16:05:26.970678,PHY,0x4601,1,4,na,"[0,",0,0,,0.2,-24.0dB,14.4us,"[0,",1,982.7,normal,0,invalid,-47.1dB,-71.8dB,na,na,no,,,
2025-08-03 16:05:26.970964,CSI,0x4601,2,,na,"[4,",,,,,+33.7dB,16.5us,"[0,",1,982.8,normal,0,valid,-13.3dB,-13.3dB,0.21us,+26.2Hz,,"[7,",1101,1
2025-08-03 16:05:26.990638,PHY,0x4601,1,4,na,"[0,",0,0,,0.4,-17.5dB,15.8us,"[0,",1,984.7,normal,0,invalid,-46.7dB,-64.2dB,na,na,no,,,
2025-08-03 16:05:26.990871,CSI,0x4601,2,,na,"[4,",,,,,+32.1dB,12.4us,"[0,",1,984.8,normal,0,valid,-13.3dB,-13.4dB,0.21us,-76.5Hz,,"[7,",1101,1
2025-08-03 16:05:27.010701,PHY,0x4601,1,4,na,"[0,",0,0,,1458.9,+17.4dB,17.0us,"[0,",1,986.7,normal,0,valid,-15.1dB,-15.2dB,na,na,yes,,,
2025-08-03 16:05:27.010953,CSI,0x4601,2,,na,"[4,",,,,,+33.3dB,14.5us,"[0,",1,986.8,normal,0,valid,-13.4dB,-13.4dB,0.21us,-96.3Hz,,"[7,",1101,1
2025-08-03 16:05:27.030661,PHY,0x4601,1,4,na,"[0,",0,0,2,0.6,-14.5dB,20.9us,"[0,",1,988.7,normal,0,invalid,-46.6dB,-61.8dB,na,na,,,,
2025-08-03 16:05:27.030678,PHY,0x4601,1,0,na,"[0,",0,0,1,1336.0,+17.0dB,13.2us,"[0,",1,988.7,normal,0,valid,-15.4dB,-15.5dB,na,na,,,,
2025-08-03 16:05:27.030926,CSI,0x4601,2,,na,"[4,",,,,,+35.9dB,19.4us,"[0,",1,988.8,normal,0,valid,-13.3dB,-13.4dB,0.20us,-59.5Hz,,"[7,",1101,1
2025-08-03 16:05:27.050718,PHY,0x4601,1,4,na,"[0,",0,0,,0.0,-26.1dB,15.1us,"[0,",1,990.7,normal,0,invalid,-46.9dB,-73.5dB,na,na,no,,,
2025-08-03 16:05:27.050991,CSI,0x4601,2,,na,"[4,",,,,,+39.3dB,12.7us,"[0,",1,990.8,normal,0,valid,-13.5dB,-13.6dB,0.20us,+13.3Hz,,"[7,",1101,1
