time,log_type,rnti,format,prb,prb2,symb,csi1,sinr,t,bwp,n_id,n_id0,slot,cp,ports,status,epre,rsrp,t_align,cfo,prb1,cs,occ,ack,metric,sr
2025-08-03 20:23:28.233208,PHY,0x4601,1,,na,"[0,",,+16.1dB,15.9us,"[0,",1,,783.18,normal,0,valid,-14.3dB,-14.4dB,na,na,0,0,0,1,1083.3,
2025-08-03 20:23:28.233679,PHY,0x4601,1,,na,"[0,",,+16.0dB,14.3us,"[0,",1,,783.19,normal,0,valid,-14.3dB,-14.4dB,na,na,0,0,0,1,1069.9,
2025-08-03 20:23:28.237805,CSI,0x4601,2,"[6,",na,"[0,",1111,+36.2dB,12.1us,"[0,",1,1,784.8,normal,0,valid,-11.0dB,-11.0dB,0.20us,+26.5Hz,,,,1,,
2025-08-03 20:23:28.238642,PHY,0x4601,1,,na,"[0,",,+16.1dB,18.7us,"[0,",1,,784.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1077.3,
2025-08-03 20:23:28.242296,PHY,0x4601,2,"[6,",na,"[0,",,+33.1dB,14.5us,"[0,",1,1,784.17,normal,0,valid,-11.3dB,-11.3dB,0.20us,+22.9Hz,,,,11111,,
2025-08-03 20:23:28.243144,PHY,0x4601,1,,na,"[0,",,+17.4dB,23.2us,"[0,",1,,784.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1458.0,
2025-08-03 20:23:28.243719,PHY,0x4601,1,,na,"[0,",,+17.6dB,14.8us,"[0,",1,,784.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1526.8,
2025-08-03 20:23:28.247291,PHY,0x4601,2,"[6,",na,"[0,",,+33.9dB,14.9us,"[0,",1,1,785.7,normal,0,valid,-11.3dB,-11.4dB,0.20us,-2.3Hz,,,,11111,,
2025-08-03 20:23:28.248217,PHY,0x4601,1,,na,"[0,",,+16.0dB,16.2us,"[0,",1,,785.8,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1073.7,
2025-08-03 20:23:28.248676,PHY,0x4601,1,,na,"[0,",,+16.2dB,20.8us,"[0,",1,,785.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1100.1,
2025-08-03 20:23:28.252217,PHY,0x4601,2,"[6,",na,"[0,",,+35.2dB,15.5us,"[0,",1,1,785.17,normal,0,valid,-11.3dB,-11.3dB,0.20us,-3.9Hz,,,,11111,,
2025-08-03 20:23:28.253169,PHY,0x4601,1,,na,"[0,",,+16.1dB,15.7us,"[0,",1,,785.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1100.2,
2025-08-03 20:23:28.253637,PHY,0x4601,1,,na,"[0,",,+16.0dB,15.3us,"[0,",1,,785.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1065.5,
2025-08-03 20:23:28.257302,PHY,0x4601,2,"[6,",na,"[0,",,+33.5dB,18.0us,"[0,",1,1,786.7,normal,0,valid,-10.6dB,-10.6dB,0.22us,+6.2Hz,,,,11111,,1
2025-08-03 20:23:28.257778,CSI,0x4601,2,"[6,",na,"[0,",1111,+33.8dB,18.1us,"[0,",1,1,786.8,normal,0,valid,-11.2dB,-11.3dB,0.23us,-36.2Hz,,,,1,,
2025-08-03 20:23:28.258720,PHY,0x4601,1,,na,"[0,",,+17.5dB,16.4us,"[0,",1,,786.9,normal,0,valid,-14.4dB,-14.4dB,na,na,0,0,0,1,1480.2,
2025-08-03 20:23:28.262254,PHY,0x4601,2,"[6,",na,"[0,",,+33.7dB,12.8us,"[0,",1,1,786.17,normal,0,valid,-11.3dB,-11.3dB,0.19us,+28.9Hz,,,,11111,,
2025-08-03 20:23:28.263218,PHY,0x4601,1,,na,"[0,",,+17.4dB,15.8us,"[0,",1,,786.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1454.3,
2025-08-03 20:23:28.263668,PHY,0x4601,1,,na,"[0,",,+17.4dB,14.0us,"[0,",1,,786.19,normal,0,valid,-14.4dB,-14.4dB,na,na,0,0,0,1,1447.5,
2025-08-03 20:23:28.268164,PHY,0x4601,1,,na,"[0,",,+17.5dB,17.7us,"[0,",1,,787.8,normal,0,valid,-14.0dB,-14.1dB,na,na,0,0,0,1,1495.4,
2025-08-03 20:23:28.268640,PHY,0x4601,1,,na,"[0,",,+17.4dB,15.8us,"[0,",1,,787.9,normal,0,valid,-14.0dB,-14.1dB,na,na,0,0,0,1,1455.2,
2025-08-03 20:23:28.272280,PHY,0x4601,2,"[6,",na,"[0,",,+38.7dB,15.0us,"[0,",1,1,787.17,normal,0,valid,-11.3dB,-11.3dB,0.19us,-43.4Hz,,,,11111,,
2025-08-03 20:23:28.273225,PHY,0x4601,1,,na,"[0,",,+16.2dB,18.1us,"[0,",1,,787.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1108.0,
2025-08-03 20:23:28.273716,PHY,0x4601,1,,na,"[0,",,+16.0dB,14.6us,"[0,",1,,787.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1066.9,
2025-08-03 20:23:28.277771,CSI,0x4601,2,"[6,",na,"[0,",1111,+35.8dB,11.7us,"[0,",1,1,788.8,normal,0,valid,-10.9dB,-10.9dB,0.20us,-41.3Hz,,,,1,,
2025-08-03 20:23:28.278680,PHY,0x4601,1,,na,"[0,",,+15.9dB,19.9us,"[0,",1,,788.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1040.5,
2025-08-03 20:23:28.282197,PHY,0x4601,2,"[6,",na,"[0,",,+32.8dB,14.0us,"[0,",1,1,788.17,normal,0,valid,-11.2dB,-11.2dB,0.19us,+46.5Hz,,,,11111,,
2025-08-03 20:23:28.283153,PHY,0x4601,1,,na,"[0,",,+16.2dB,22.3us,"[0,",1,,788.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1104.5,
2025-08-03 20:23:28.283726,PHY,0x4601,1,,na,"[0,",,+16.1dB,15.9us,"[0,",1,,788.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1102.3,
2025-08-03 20:23:28.288220,PHY,0x4601,1,,na,"[0,",,+17.4dB,20.3us,"[0,",1,,789.8,normal,0,valid,-14.0dB,-14.1dB,na,na,0,0,0,1,1476.8,
2025-08-03 20:23:28.288709,PHY,0x4601,1,,na,"[0,",,+17.5dB,15.5us,"[0,",1,,789.9,normal,0,valid,-14.1dB,-14.1dB,na,na,0,0,0,1,1509.4,
2025-08-03 20:23:28.292256,PHY,0x4601,2,"[6,",na,"[0,",,+35.0dB,14.3us,"[0,",1,1,789.17,normal,0,valid,-11.3dB,-11.3dB,0.18us,-103.1Hz,,,,11111,,
2025-08-03 20:23:28.293196,PHY,0x4601,1,,na,"[0,",,+17.4dB,16.4us,"[0,",1,,789.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1470.7,
2025-08-03 20:23:28.293661,PHY,0x4601,1,,na,"[0,",,+17.4dB,16.3us,"[0,",1,,789.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1463.9,
2025-08-03 20:23:28.297787,CSI,0x4601,2,"[6,",na,"[0,",1111,+34.8dB,23.3us,"[0,",1,1,790.8,normal,0,valid,-11.0dB,-11.1dB,0.20us,+64.2Hz,,,,1,,
2025-08-03 20:23:28.298730,PHY,0x4601,1,,na,"[0,",,+16.3dB,25.8us,"[0,",1,,790.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1128.4,
2025-08-03 20:23:28.302273,PHY,0x4601,2,"[6,",na,"[0,",,+32.7dB,12.4us,"[0,",1,1,790.17,normal,0,valid,-11.2dB,-11.3dB,0.20us,+14.2Hz,,,,11111,,
2025-08-03 20:23:28.303205,PHY,0x4601,1,,na,"[0,",,+17.3dB,15.1us,"[0,",1,,790.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1414.1,
2025-08-03 20:23:28.303694,PHY,0x4601,1,,na,"[0,",,+17.3dB,14.2us,"[0,",1,,790.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1428.8,
2025-08-03 20:23:28.308219,PHY,0x4601,1,,na,"[0,",,+17.6dB,17.1us,"[0,",1,,791.8,normal,0,valid,-14.0dB,-14.1dB,na,na,0,0,0,1,1517.2,
2025-08-03 20:23:28.308664,PHY,0x4601,1,,na,"[0,",,+17.5dB,22.2us,"[0,",1,,791.9,normal,0,valid,-14.1dB,-14.2dB,na,na,0,0,0,1,1507.1,
2025-08-03 20:23:28.312323,PHY,0x4601,2,"[6,",na,"[0,",,+33.5dB,15.9us,"[0,",1,1,791.17,normal,0,valid,-11.3dB,-11.3dB,0.18us,-78.3Hz,,,,11111,,
2025-08-03 20:23:28.313152,PHY,0x4601,1,,na,"[0,",,+17.2dB,24.4us,"[0,",1,,791.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1416.2,
2025-08-03 20:23:28.313716,PHY,0x4601,1,,na,"[0,",,+17.5dB,18.6us,"[0,",1,,791.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1498.9,
2025-08-03 20:23:28.317293,PHY,0x4601,2,"[6,",na,"[0,",,+32.3dB,15.3us,"[0,",1,1,792.7,normal,0,valid,-10.6dB,-10.6dB,0.20us,+2.2Hz,,,,11111,,1
2025-08-03 20:23:28.317739,CSI,0x4601,2,"[6,",na,"[0,",1111,+37.8dB,11.5us,"[0,",1,1,792.8,normal,0,valid,-11.3dB,-11.3dB,0.20us,+56.8Hz,,,,1,,
2025-08-03 20:23:28.318698,PHY,0x4601,1,,na,"[0,",,+16.2dB,15.7us,"[0,",1,,792.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1123.8,
2025-08-03 20:23:28.322232,PHY,0x4601,2,"[6,",na,"[0,",,+35.5dB,15.3us,"[0,",1,1,792.17,normal,0,valid,-11.3dB,-11.4dB,0.19us,-18.2Hz,,,,11111,,
2025-08-03 20:23:28.323186,PHY,0x4601,1,,na,"[0,",,+17.3dB,16.3us,"[0,",1,,792.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1421.6,
2025-08-03 20:23:28.323643,PHY,0x4601,1,,na,"[0,",,+17.4dB,14.4us,"[0,",1,,792.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1465.1,
2025-08-03 20:23:28.328143,PHY,0x4601,1,,na,"[0,",,+17.3dB,17.5us,"[0,",1,,793.8,normal,0,valid,-14.0dB,-14.1dB,na,na,0,0,0,1,1416.5,
2025-08-03 20:23:28.328712,PHY,0x4601,1,,na,"[0,",,+17.4dB,16.1us,"[0,",1,,793.9,normal,0,valid,-14.1dB,-14.1dB,na,na,0,0,0,1,1460.9,
2025-08-03 20:23:28.332266,PHY,0x4601,2,"[6,",na,"[0,",,+37.3dB,19.5us,"[0,",1,1,793.17,normal,0,valid,-11.4dB,-11.4dB,0.18us,-11.4Hz,,,,11111,,
2025-08-03 20:23:28.333207,PHY,0x4601,1,,na,"[0,",,+16.2dB,16.7us,"[0,",1,,793.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1101.9,
2025-08-03 20:23:28.333702,PHY,0x4601,1,,na,"[0,",,+16.2dB,18.3us,"[0,",1,,793.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1102.1,
2025-08-03 20:23:28.337799,CSI,0x4601,2,"[6,",na,"[0,",1111,+35.7dB,13.8us,"[0,",1,1,794.8,normal,0,valid,-11.0dB,-11.0dB,0.20us,-6.1Hz,,,,1,,
2025-08-03 20:23:28.338644,PHY,0x4601,1,,na,"[0,",,+17.5dB,21.0us,"[0,",1,,794.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1479.2,
2025-08-03 20:23:28.342296,PHY,0x4601,2,"[6,",na,"[0,",,+32.9dB,14.4us,"[0,",1,1,794.17,normal,0,valid,-11.3dB,-11.3dB,0.18us,-30.3Hz,,,,11111,,
2025-08-03 20:23:28.343233,PHY,0x4601,1,,na,"[0,",,+17.2dB,16.0us,"[0,",1,,794.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1403.5,
2025-08-03 20:23:28.343707,PHY,0x4601,1,,na,"[0,",,+17.5dB,22.6us,"[0,",1,,794.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1500.0,
2025-08-03 20:23:28.348215,PHY,0x4601,1,,na,"[0,",,+17.6dB,20.8us,"[0,",1,,795.8,normal,0,valid,-14.1dB,-14.2dB,na,na,0,0,0,1,1532.9,
2025-08-03 20:23:28.348708,PHY,0x4601,1,,na,"[0,",,+17.4dB,20.5us,"[0,",1,,795.9,normal,0,valid,-14.1dB,-14.2dB,na,na,0,0,0,1,1457.1,
2025-08-03 20:23:28.352214,PHY,0x4601,2,"[6,",na,"[0,",,+33.8dB,17.5us,"[0,",1,1,795.17,normal,0,valid,-11.3dB,-11.3dB,0.18us,+2.4Hz,,,,11111,,
2025-08-03 20:23:28.353176,PHY,0x4601,1,,na,"[0,",,+17.3dB,16.8us,"[0,",1,,795.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1438.9,
2025-08-03 20:23:28.353636,PHY,0x4601,1,,na,"[0,",,+17.2dB,15.2us,"[0,",1,,795.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1416.3,
2025-08-03 20:23:28.357781,CSI,0x4601,2,"[6,",na,"[0,",1111,+35.6dB,16.0us,"[0,",1,1,796.8,normal,0,valid,-11.0dB,-11.0dB,0.19us,-12.4Hz,,,,1,,
2025-08-03 20:23:28.358700,PHY,0x4601,1,,na,"[0,",,+17.2dB,15.6us,"[0,",1,,796.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1397.1,
2025-08-03 20:23:28.362250,PHY,0x4601,2,"[6,",na,"[0,",,+35.2dB,15.3us,"[0,",1,1,796.17,normal,0,valid,-11.3dB,-11.3dB,0.19us,+49.1Hz,,,,11111,,
2025-08-03 20:23:28.363182,PHY,0x4601,1,,na,"[0,",,+16.2dB,16.4us,"[0,",1,,796.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1105.0,
2025-08-03 20:23:28.363680,PHY,0x4601,1,,na,"[0,",,+15.9dB,15.7us,"[0,",1,,796.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1029.2,
2025-08-03 20:23:28.367205,PHY,0x4601,2,"[6,",na,"[0,",,+34.4dB,15.1us,"[0,",1,1,797.7,normal,0,valid,-11.4dB,-11.4dB,0.20us,-6.6Hz,,,,11111,,
2025-08-03 20:23:28.368178,PHY,0x4601,1,,na,"[0,",,+16.2dB,16.2us,"[0,",1,,797.8,normal,0,valid,-14.5dB,-14.6dB,na,na,0,0,0,1,1106.4,
2025-08-03 20:23:28.368729,PHY,0x4601,1,,na,"[0,",,+16.2dB,13.6us,"[0,",1,,797.9,normal,0,valid,-14.5dB,-14.6dB,na,na,0,0,0,1,1115.0,
2025-08-03 20:23:28.372278,PHY,0x4601,2,"[6,",na,"[0,",,+31.2dB,14.8us,"[0,",1,1,797.17,normal,0,valid,-11.3dB,-11.4dB,0.20us,-61.9Hz,,,,11111,,
2025-08-03 20:23:28.373220,PHY,0x4601,1,,na,"[0,",,+17.3dB,18.5us,"[0,",1,,797.18,normal,0,valid,-14.5dB,-14.6dB,na,na,0,0,0,1,1435.8,
2025-08-03 20:23:28.373685,PHY,0x4601,1,,na,"[0,",,+17.3dB,16.8us,"[0,",1,,797.19,normal,0,valid,-14.5dB,-14.6dB,na,na,0,0,0,1,1433.9,
2025-08-03 20:23:28.377252,PHY,0x4601,2,"[6,",na,"[0,",,+34.0dB,16.3us,"[0,",1,1,798.7,normal,0,valid,-10.7dB,-10.7dB,0.20us,-61.5Hz,,,,11111,,1
2025-08-03 20:23:28.377709,CSI,0x4601,2,"[6,",na,"[0,",1111,+34.5dB,12.6us,"[0,",1,1,798.8,normal,0,valid,-11.2dB,-11.3dB,0.19us,+7.1Hz,,,,1,,
2025-08-03 20:23:28.378674,PHY,0x4601,1,,na,"[0,",,+16.3dB,15.8us,"[0,",1,,798.9,normal,0,valid,-14.5dB,-14.6dB,na,na,0,0,0,1,1150.5,
2025-08-03 20:23:28.382325,PHY,0x4601,2,"[6,",na,"[0,",,+34.1dB,13.1us,"[0,",1,1,798.17,normal,0,valid,-11.3dB,-11.4dB,0.20us,+35.6Hz,,,,11111,,
2025-08-03 20:23:28.383165,PHY,0x4601,1,,na,"[0,",,+17.4dB,17.0us,"[0,",1,,798.18,normal,0,valid,-14.1dB,-14.2dB,na,na,0,0,0,1,1470.8,
2025-08-03 20:23:28.387286,PHY,0x4601,2,"[6,",na,"[0,",,+36.6dB,15.2us,"[0,",1,1,799.7,normal,0,valid,-11.4dB,-11.4dB,0.19us,-78.3Hz,,,,11111,,
2025-08-03 20:23:28.388214,PHY,0x4601,1,,na,"[0,",,+16.1dB,18.1us,"[0,",1,,799.8,normal,0,valid,-14.5dB,-14.6dB,na,na,0,0,0,1,1079.7,
2025-08-03 20:23:28.388682,PHY,0x4601,1,,na,"[0,",,+15.9dB,15.4us,"[0,",1,,799.9,normal,0,valid,-14.5dB,-14.6dB,na,na,0,0,0,1,1047.9,
2025-08-03 20:23:28.393175,PHY,0x4601,1,,na,"[0,",,+17.1dB,16.7us,"[0,",1,,799.18,normal,0,valid,-14.0dB,-14.1dB,na,na,0,0,0,1,1379.4,
