time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,max_pusch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,avg_pucch_harq_delay,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_max_pusch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_avg_pucch_harq_delay
2025-08-03 19:41:44.679603,metric,51,1400,600,0,0,49,0,1,0.112,0,0,1,15usec,67usec,150.16,48Mbps,466kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,13,1.0,24,48Mbps,1283,117,8%,2.34M,68936,1.0019599,34.3,-3.4,1,27,466kbps,67,0,0%,481,0,27,0,0,0,0,0,-0.49500006,215ns,n/a,7,4.49ms,4.5ms,4.18ms,4.02ms,3.96ms
2025-08-03 19:41:45.679599,metric,51,1400,600,0,0,49,0,1,0.1,0,0,1,15usec,45usec,196.15,47Mbps,408kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,13,1.0,25,47Mbps,1208,192,13%,2.27M,68827,0.32996732,34.4,-3.4,1,27,409kbps,60,0,0%,422,0,35,0,0,0,0,0,-0.49500006,222ns,n/a,7,4.47ms,4.5ms,4.24ms,4.04ms,3.95ms
2025-08-03 19:41:46.679458,metric,51,1400,600,0,0,49,0,1,0.115,0,0,1,15usec,44usec,280.6,47Mbps,478kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,13,1.0,24,47Mbps,1259,141,10%,2.34M,68901,0.2069571,34.5,-3.3,1,27,479kbps,69,0,0%,494,0,31,0,0,0,0,0,-0.49500006,230ns,n/a,7,4.48ms,4.5ms,4.23ms,4.01ms,3.94ms
2025-08-03 19:41:47.679571,metric,51,1400,600,0,0,49,0,1,0.122,0,0,1,15usec,56usec,440.13,49Mbps,511kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,13,1.0,24,49Mbps,1323,77,5%,2.34M,68832,0.7009464,34.7,-3.4,1,27,511kbps,73,0,0%,527,0,27,0,0,0,0,0,-0.49500006,174ns,n/a,7,4.5ms,4.5ms,4.25ms,4.01ms,3.95ms
2025-08-03 19:41:48.679633,metric,51,1400,600,0,0,49,0,1,0.11,0,0,1,15usec,50usec,511.16,49Mbps,459kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,13,1.0,24,49Mbps,1294,106,7%,2.41M,68974,,34.7,-3.3,1,27,459kbps,66,0,0%,474,0,26,0,0,0,0,0,-0.49500006,180ns,n/a,7,4.48ms,4.5ms,4.2ms,4.02ms,3.94ms
2025-08-03 19:41:49.679579,metric,51,1400,600,0,0,49,0,1,0.0933,0,0,1,15usec,47usec,593.3,47Mbps,388kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,13,1.0,25,47Mbps,1226,174,12%,2.41M,68827,,34.3,-3.3,1,27,389kbps,56,0,0%,401,0,34,0,0,0,0,0,-0.49500006,188ns,n/a,7,4.45ms,4.5ms,4.21ms,4.04ms,3.94ms
2025-08-03 19:41:50.679482,metric,51,1400,600,0,0,49,0,1,0.113,0,0,1,15usec,46usec,686.17,48Mbps,470kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,13,1.0,24,48Mbps,1271,129,9%,2.34M,68904,0.47593677,34.5,-3.3,1,27,470kbps,68,0,0%,485,0,30,0,0,0,0,0,-0.49500006,198ns,n/a,7,4.48ms,4.5ms,4.21ms,4.03ms,3.95ms
2025-08-03 19:41:51.679524,metric,51,1400,600,0,0,49,0,1,0.115,0,0,1,15usec,48usec,774.16,49Mbps,476kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,13,1.0,24,49Mbps,1327,73,5%,2.3M,68923,0.9979326,34.3,-3.3,1,27,477kbps,69,0,0%,492,0,25,0,0,0,0,0,-0.49500006,206ns,n/a,7,4.48ms,4.5ms,4.22ms,4.01ms,3.95ms
2025-08-03 19:41:52.679546,metric,51,1400,600,0,0,49,0,1,0.11,0,0,1,15usec,54usec,939.13,48Mbps,458kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,13,1.0,24,48Mbps,1261,139,9%,2.39M,68890,0.8919197,34.5,-3.3,1,27,459kbps,65,0,0%,480,535,32,0,0,0,0,0,-0.49500006,212ns,n/a,6,4.5ms,4.5ms,4.27ms,4.02ms,3.94ms
2025-08-03 19:41:53.679475,metric,51,1400,600,0,0,49,0,1,0.115,0,0,1,15usec,49usec,963.16,48Mbps,487kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,13,1.0,24,48Mbps,1283,117,8%,2.28M,68901,0.9299115,34.3,-3.3,1,27,488kbps,69,0,0%,505,1.04k,26,0,0,0,0,0,-0.49500006,220ns,n/a,7,4.48ms,4.5ms,4.22ms,4.04ms,3.95ms
2025-08-03 19:41:54.679579,metric,51,1400,600,0,0,49,0,1,0.0983,0,0,1,15usec,49usec,100.15,48Mbps,422kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,13,1.0,25,48Mbps,1255,145,10%,2.34M,68904,0.74091154,34.3,-3.4,1,27,423kbps,60,0,0%,427,52,31,0,0,0,0,0,-0.49500006,227ns,n/a,7,4.48ms,4.5ms,4.22ms,4.03ms,3.94ms
2025-08-03 19:41:55.679611,metric,51,1400,600,0,0,49,0,1,0.115,0,0,1,15usec,49usec,140.1,47Mbps,492kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,13,1.0,24,47Mbps,1265,135,9%,2.47M,68913,,34.0,-3.4,1,27,492kbps,69,0,0%,508,0,29,0,0,0,0,0,-0.49500006,211ns,n/a,7,4.48ms,4.5ms,4.2ms,4.04ms,3.95ms
2025-08-03 19:41:56.679461,metric,51,1400,600,0,0,49,0,1,0.105,0,0,1,15usec,71usec,261.17,49Mbps,434kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,13,1.0,24,49Mbps,1307,93,6%,2.31M,68911,1.0328946,34.5,-3.4,1,27,434kbps,63,0,0%,448,0,30,0,0,0,0,0,-0.49500006,177ns,n/a,7,4.47ms,4.5ms,4.21ms,4.02ms,3.95ms
2025-08-03 19:41:57.679540,metric,51,1398,599,0,3,49,0,1,0.0935,0,0,1,15usec,49usec,417.15,41Mbps,384kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,14,1.0,25,41Mbps,1123,274,19%,2.24M,68646,-0.6470985,34.5,-3.5,1,27,385kbps,56,0,0%,397,409,36,0,0,0,0,0,-0.49500006,187ns,n/a,7,4.46ms,4.5ms,4.27ms,4.06ms,3.94ms
2025-08-03 19:41:58.679516,metric,51,1400,600,0,0,49,0,1,0.113,0,0,1,15usec,45usec,519.16,46Mbps,476kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,14,1.0,23,46Mbps,1287,114,8%,2.38M,68912,-0.4851082,34.0,-3.4,1,27,477kbps,68,1,1%,492,0,31,0,0,0,0,0,-0.49500006,192ns,n/a,7,4.47ms,4.5ms,4.18ms,4.03ms,3.94ms
2025-08-03 19:41:59.679465,metric,51,1400,600,0,0,49,0,1,0.122,0,0,1,15usec,47usec,613.16,58Mbps,523kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,15,1.0,26,58Mbps,1398,2,0%,2.46M,69006,-0.000110890716,34.3,-3.4,1,27,523kbps,72,0,0%,546,276,20,0,0,0,0,0,-0.49500006,204ns,n/a,6,4.49ms,4.5ms,4.21ms,4.02ms,3.95ms
