time,log_type,rnti,format,prb1,prb2,symb,cs,occ,ack,metric,sinr,t,bwp,n_id,slot,cp,ports,status,epre,rsrp,t_align,cfo,sr,prb,csi1,n_id0
2025-08-03 22:16:18.574920,PHY,0x4602,1,2,na,"[0,",0,0,1,1092.5,+16.1dB,16.2us,"[0,",1,299.8,normal,0,valid,-14.9dB,-15.0dB,na,na,,,,
2025-08-03 22:16:18.575469,PHY,0x4602,1,2,na,"[0,",0,0,1,1047.1,+16.0dB,14.6us,"[0,",1,299.9,normal,0,valid,-14.9dB,-15.0dB,na,na,,,,
2025-08-03 22:16:18.579041,PHY,0x4602,2,,na,"[2,",,,11111,,+31.3dB,18.8us,"[0,",1,299.17,normal,0,valid,-14.7dB,-14.7dB,0.23us,-20.0Hz,,"[44,",,1
2025-08-03 22:16:18.579956,PHY,0x4602,1,2,na,"[0,",0,0,1,1079.0,+16.1dB,15.3us,"[0,",1,299.18,normal,0,valid,-15.3dB,-15.4dB,na,na,,,,
2025-08-03 22:16:18.580450,PHY,0x4602,1,2,na,"[0,",0,0,1,1051.2,+16.0dB,22.9us,"[0,",1,299.19,normal,0,valid,-15.3dB,-15.4dB,na,na,,,,
2025-08-03 22:16:18.584112,PHY,0x4602,2,,na,"[2,",,,11111,,+31.9dB,24.5us,"[0,",1,300.7,normal,0,valid,-14.5dB,-14.6dB,0.22us,-58.0Hz,,"[44,",,1
2025-08-03 22:16:18.584918,PHY,0x4602,1,4,na,"[0,",0,0,1,1052.6,+16.0dB,17.3us,"[0,",1,300.8,normal,0,valid,-15.1dB,-15.2dB,na,na,,,,
2025-08-03 22:16:18.584933,PHY,0x4602,1,2,na,"[0,",0,0,2,0.2,-18.7dB,11.5us,"[0,",1,300.8,normal,0,invalid,-46.7dB,-66.1dB,na,na,,,,
2025-08-03 22:16:18.585057,CSI,0x4602,2,,na,"[2,",,,1,,+32.3dB,19.3us,"[0,",1,300.9,normal,0,valid,-14.5dB,-14.6dB,0.23us,-54.4Hz,,"[44,",0110,1
2025-08-03 22:16:18.589104,PHY,0x4602,2,,na,"[2,",,,11111,,+36.9dB,14.3us,"[0,",1,300.17,normal,0,valid,-14.6dB,-14.6dB,0.23us,+4.2Hz,,"[44,",,1
2025-08-03 22:16:18.589915,PHY,0x4602,1,2,na,"[0,",0,0,1,1046.9,+16.0dB,15.5us,"[0,",1,300.18,normal,0,valid,-15.2dB,-15.3dB,na,na,,,,
2025-08-03 22:16:18.590466,PHY,0x4602,1,2,na,"[0,",0,0,1,1046.3,+16.0dB,15.7us,"[0,",1,300.19,normal,0,valid,-15.2dB,-15.3dB,na,na,,,,
2025-08-03 22:16:18.594963,PHY,0x4602,1,2,na,"[0,",0,0,1,1136.4,+16.3dB,19.3us,"[0,",1,301.8,normal,0,valid,-14.8dB,-14.9dB,na,na,,,,
2025-08-03 22:16:18.595439,PHY,0x4602,1,2,na,"[0,",0,0,1,1101.6,+16.2dB,15.9us,"[0,",1,301.9,normal,0,valid,-14.8dB,-14.9dB,na,na,,,,
2025-08-03 22:16:18.599103,PHY,0x4602,2,,na,"[2,",,,11111,,+31.1dB,19.3us,"[0,",1,301.17,normal,0,valid,-14.5dB,-14.6dB,0.22us,-51.4Hz,,"[44,",,1
2025-08-03 22:16:18.599917,PHY,0x4602,1,2,na,"[0,",0,0,1,1052.8,+16.0dB,18.9us,"[0,",1,301.18,normal,0,valid,-15.2dB,-15.3dB,na,na,,,,
2025-08-03 22:16:18.600424,PHY,0x4602,1,2,na,"[0,",0,0,1,1048.8,+15.9dB,17.5us,"[0,",1,301.19,normal,0,valid,-15.2dB,-15.3dB,na,na,,,,
2025-08-03 22:16:18.604911,PHY,0x4602,1,4,na,"[0,",0,0,1,1116.5,+16.2dB,16.0us,"[0,",1,302.8,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,
