time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,events,slot,type,pci,rnti,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,max_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,max_pucch_harq_delay,total_dl_brate,total_ul_brate,max_ce_delay,ul_olla,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_events,ue_slot,ue_type,ue_pci,ue_rnti,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_max_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_max_pucch_harq_delay,ue_total_dl_brate,ue_total_ul_brate,ue_max_ce_delay,ue_ul_olla
2025-08-03 19:57:26.637808,metric,51,1400,600,0,0,49,0,1,0.095,0,0,1,15usec,45usec,89.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,4ms,31Mbps,407kbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,9,1.0,16,31Mbps,1267,133,9%,2.16M,68771,0.61001843,34.0,-3.3,1,27,407kbps,56,1,1%,453,0,34,0,0,0,0,0,187ns,n/a,6,4.48ms,4.5ms,4.31ms,4.5ms,4ms,4ms,3.94ms,4ms,,,,-0.7910002
2025-08-03 19:57:27.637694,metric,51,1400,600,0,0,49,0,1,0.0983,0,0,1,15usec,42usec,188.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4.5ms,31Mbps,402kbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,9,1.0,17,31Mbps,1246,154,11%,2.13M,68870,0.51600367,34.6,-2.8,1,27,402kbps,59,0,0%,415,0,34,0,0,0,0,0,194ns,n/a,6,4.48ms,4.5ms,4.3ms,4.5ms,4.03ms,4.5ms,3.94ms,4.5ms,,,,-0.7910002
2025-08-03 19:57:28.637798,metric,51,1400,600,0,0,49,0,1,0.1,0,0,1,15usec,41usec,290.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4.5ms,32Mbps,410kbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,9,1.0,17,32Mbps,1278,122,8%,2.02M,68963,0.7229887,34.7,-3.5,1,27,411kbps,60,0,0%,424,0,37,1,1,1,0,0,201ns,n/a,7,4.49ms,4.5ms,4.24ms,4.5ms,4.05ms,4.5ms,3.94ms,4.5ms,,,,-0.7910002
2025-08-03 19:57:29.637754,metric,51,1400,600,0,0,49,0,1,0.095,0,0,1,15usec,39usec,385.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4.5ms,31Mbps,386kbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,9,1.0,17,31Mbps,1242,158,11%,2.15M,68811,0.531974,34.8,-3.5,1,27,387kbps,57,0,0%,399,0,38,0,0,0,0,0,208ns,n/a,6,4.48ms,4.5ms,4.25ms,4.5ms,4.06ms,4.5ms,3.93ms,4.5ms,,,,-0.7910002
2025-08-03 19:57:30.637754,metric,51,1400,600,0,0,49,0,1,0.1,0,0,1,15usec,53usec,464.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4ms,31Mbps,407kbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,9,1.0,17,31Mbps,1252,148,10%,2.14M,68840,,34.7,-2.9,1,27,407kbps,60,0,0%,420,198,37,0,0,0,0,0,215ns,n/a,6,4.47ms,4.5ms,4.26ms,4.5ms,4.02ms,4.5ms,3.93ms,4ms,,,,-0.7910002
2025-08-03 19:57:31.637837,metric,51,1400,600,0,0,49,0,1,0.1,0,0,1,15usec,43usec,562.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4ms,31Mbps,421kbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,9,1.0,16,31Mbps,1265,135,9%,2.24M,68848,,34.5,-3.4,1,27,422kbps,60,0,0%,435,0,33,4,0,0,0,0,224ns,n/a,7,4.48ms,4.5ms,4.23ms,4.5ms,4.03ms,4.5ms,3.94ms,4ms,,,,-0.7910002
2025-08-03 19:57:32.637740,metric,51,1400,600,0,0,49,0,1,0.0967,0,0,1,15usec,45usec,728.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4.5ms,31Mbps,393kbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,9,1.0,17,31Mbps,1264,136,9%,2.2M,68869,,34.2,-3.5,1,27,393kbps,58,0,0%,406,0,31,0,0,0,0,0,230ns,n/a,7,4.48ms,4.5ms,4.24ms,4.5ms,4.04ms,4.5ms,3.93ms,4.5ms,,,,-0.7910002
2025-08-03 19:57:33.637823,metric,51,1400,600,0,0,49,0,1,0.102,0,0,1,15usec,44usec,813.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4.5ms,31Mbps,415kbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,9,1.0,16,31Mbps,1290,110,7%,2.13M,68834,0.7229141,34.2,-3.2,1,27,416kbps,61,0,0%,429,339,35,0,0,0,0,0,195ns,n/a,6,4.49ms,4.5ms,4.18ms,4.5ms,4.02ms,4.5ms,3.94ms,4.5ms,,,,-0.7910002
2025-08-03 19:57:34.637693,metric,51,1400,600,0,0,49,0,1,0.1,0,0,1,15usec,43usec,926.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4ms,31Mbps,412kbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,9,1.0,17,31Mbps,1257,143,10%,2.21M,68817,,34.7,-3.0,1,27,413kbps,60,0,0%,426,0,32,0,0,0,0,0,182ns,n/a,7,4.47ms,4.5ms,4.15ms,4.5ms,4.03ms,4.5ms,3.93ms,4ms,,,,-0.7910002
2025-08-03 19:57:35.637847,metric,51,1400,600,0,0,49,0,1,0.0967,0,0,1,15usec,42usec,983.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4.5ms,31Mbps,402kbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,9,1.0,17,31Mbps,1249,151,10%,2.07M,68943,0.5848843,34.7,-3.4,1,27,402kbps,58,0,0%,415,384,34,2,0,0,0,0,189ns,n/a,7,4.49ms,4.5ms,4.22ms,4.5ms,4.02ms,4.5ms,3.94ms,4.5ms,,,,-0.7910002
