# iperf3 -p 5201 -c 10.45.0.2 -b 45M -t 0 --logfile /tmp/iperf3.log &
# Radar_Char,prf=500,gain=30,cFreq=3410100000.0,PW=0.0001,T=20,bw=2000000.0,sampRate=20000000.0
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"debug","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"info","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_id,c_rnti,dl_rsrp,dl_rsrq,dl_sinr
2025-07-24 02:11:20.742156,51,1400,600,0,0,0,0,0.00214,0.00833,0,0,1,8usec,33usec,136.0,4.0kbps,24kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,13,1.0,23,4.8kbps,3,0,0%,0,6,0.03,32.3,-8.6,1,27,24kbps,5,0,0%,25,0,5,0,0,0,0,0,-0.099000014,186ns,n/a,15,4.5ms,4.5ms,4.3ms,n/a,n/a,4.08ms,0,4601,-95.0,-11.0,20.0
2025-07-24 02:11:21.742029,51,1400,600,0,0,0,0,0.00357,0.00833,0,0,1,8usec,30usec,305.13,9.0kbps,24kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,26,9.1kbps,5,0,0%,0,10,0.032999996,32.9,-8.4,1,27,24kbps,5,0,0%,25,0,5,0,0,0,0,0,-0.099000014,192ns,n/a,15,4.5ms,4.5ms,4.4ms,n/a,n/a,4.15ms,0,4601,-97.0,-11.0,20.0
2025-07-24 02:11:22.742115,51,1400,600,0,0,0,0,0.00429,0.00667,0,0,1,8usec,28usec,361.6,9.0kbps,21kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,27,9.2kbps,5,1,16%,0,12,0.024999997,32.4,-8.5,1,27,21kbps,4,0,0%,22,0,4,0,0,0,0,0,-0.099000014,200ns,n/a,15,4.5ms,4.5ms,4.5ms,4.5ms,4.5ms,4.06ms,0,4601,-97.0,-11.0,20.0
2025-07-24 02:11:23.742054,51,1400,600,0,0,0,0,0.00214,0.005,0,0,1,8usec,30usec,465.6,4.0kbps,14kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,14,1.0,24,5.0kbps,3,0,0%,0,6,0.026999997,32.7,-8.1,1,27,15kbps,3,0,0%,15,0,3,0,0,0,0,0,-0.099000014,210ns,n/a,15,4.5ms,4.5ms,4.5ms,n/a,n/a,4.08ms,0,4601,-95.0,-10.5,20.5
2025-07-24 02:11:24.742045,51,1400,600,0,0,0,0,0.00429,0.01,0,0,1,8usec,29usec,565.0,11kbps,40kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,27,11kbps,6,0,0%,0,12,0.027999997,32.6,-8.2,1,27,41kbps,6,0,0%,42,0,5,0,0,0,0,0,-0.099000014,221ns,n/a,15,4.5ms,4.5ms,4.5ms,n/a,n/a,4.06ms,0,4601,-96.0,-10.5,19.5
2025-07-24 02:11:25.742124,51,1400,600,0,0,0,0,0.00286,0.00667,0,0,1,8usec,35usec,668.5,7.0kbps,19kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,26,7.2kbps,4,0,0%,0,8,0.029999997,31.2,-8.1,1,27,19kbps,4,0,0%,20,0,4,0,0,0,0,0,-0.099000014,224ns,n/a,15,4.5ms,4.5ms,4.38ms,n/a,n/a,4.19ms,0,4601,-96.0,-10.5,19.5
2025-07-24 02:11:26.742128,51,1400,600,0,0,0,0,0.00214,0.005,0,0,1,8usec,27usec,738.6,5.0kbps,14kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,15,1.0,26,5.3kbps,3,0,0%,0,6,0.030999998,31.5,-8.0,1,27,15kbps,3,0,0%,15,0,3,0,0,0,0,0,-0.099000014,196ns,n/a,15,4.5ms,4.5ms,4.33ms,n/a,n/a,4ms,0,4601,-96.0,-10.5,19.5
2025-07-24 02:11:27.742047,51,1400,600,0,0,0,0,0.00357,0.00833,0,0,1,8usec,28usec,838.13,9.0kbps,24kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,27,9.3kbps,5,0,0%,0,10,0.031999998,33.3,-7.3,1,27,24kbps,5,0,0%,25,0,5,0,0,0,0,0,-0.099000014,174ns,n/a,14,4.5ms,4.5ms,4.4ms,n/a,n/a,4.1ms,0,4601,-97.0,-10.5,19.5
2025-07-24 02:11:28.742087,51,1400,600,0,0,0,0,0.00357,0.01,0,0,1,8usec,30usec,938.6,8.0kbps,29kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,15,1.0,27,8.3kbps,5,0,0%,0,10,0.031999998,33.0,-7.3,1,27,29kbps,6,0,0%,30,0,6,0,0,0,0,0,-0.099000014,185ns,n/a,14,4.5ms,4.5ms,4.5ms,n/a,n/a,4ms,0,4601,-97.0,-10.5,19.5
2025-07-24 02:11:29.742031,51,1400,600,0,0,0,0,0.00429,0.01,0,0,1,7usec,31usec,39.1,8.0kbps,28kbps,4.5ms,4.5ms,4.5ms,0x4601,78.6,ue_reconf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,14,1.0,20,8.7kbps,6,0,0%,0,24,0.03599999,33.4,-7.4,1,27,29kbps,6,0,0%,31,0,6,0,0,1,0,0,-0.099000014,182ns,n/a,14,4.5ms,4.5ms,4.42ms,n/a,n/a,4.14ms,0,4601,-93.0,-10.5,22.0
2025-07-24 02:11:30.742207,51,1400,600,0,0,0,0,0.00571,0,0,0,0,4usec,28usec,104.11,,,,,,0x4601,113.10,ue_rem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
